Date	Open	High	Low	Close	Adj Close	Volume
1986-01-01	11.6	11.71	11.41	11.69	1.953778	0
1986-02-01	11.77	12.01	10.88	11.18	1.868542	0
1986-03-01	11.14	11.67	11.13	11.67	1.976771	0
1986-04-01	11.6	11.85	11.45	11.61	1.966608	0
1986-05-01	11.58	11.69	11.28	11.63	1.969996	0
1986-06-01	11.56	11.86	11.41	11.86	2.037452	0
1986-07-01	11.91	11.93	11.46	11.52	1.979043	0
1986-08-01	11.51	12.04	11.51	12.04	2.068374	0
1986-09-01	11.96	12.05	11.37	11.41	1.986836	0
1986-10-01	11.47	11.81	11.47	11.81	2.05649	0
1986-11-01	11.86	11.86	11.66	11.84	2.061713	0
1986-12-01	11.85	12.03	10.83	10.83	1.911718	0
1987-01-01	10.92	11.65	10.92	11.64	2.0547	0
1987-02-01	11.68	11.77	11.52	11.76	2.075882	0
1987-03-01	11.72	12.08	11.72	11.83	2.117267	0
1987-04-01	11.82	12.05	11.39	11.64	2.083262	0
1987-05-01	11.62	11.78	11.15	11.51	2.059996	0
1987-06-01	11.52	12.09	11.45	11.92	2.162827	0
1987-07-01	11.9	12.13	11.9	12.13	2.20093	0
1987-08-01	12.07	12.61	12.03	12.31	2.23359	0
1987-09-01	12.19	12.19	11.83	12.04	2.212697	0
1987-10-01	12.15	12.18	10.17	10.67	1.960921	0
1987-11-01	10.75	10.85	10.29	10.29	1.891085	0
1987-12-01	10.34	10.48	9.76	10.13	1.86168	0
1988-01-01	10.34	10.57	10.06	10.57	1.978834	0
1988-02-01	10.56	10.77	10.45	10.77	2.016277	0
1988-03-01	10.77	10.81	10.5	10.51	1.995817	0
1988-04-01	10.45	10.8	10.42	10.54	2.001515	0
1988-05-01	10.54	10.58	10.17	10.44	1.982525	0
1988-06-01	10.56	10.86	10.54	10.86	2.092578	0
1988-07-01	10.83	10.89	10.57	10.77	2.075238	0
1988-08-01	10.8	10.86	10.37	10.48	2.019358	0
1988-09-01	10.42	10.79	10.42	10.79	2.108907	0
1988-10-01	10.79	10.98	10.76	10.91	2.13236	0
1988-11-01	10.92	10.94	10.63	10.82	2.11477	0
1988-12-01	10.81	10.94	10.35	10.46	2.044407	0
1989-01-01	10.39	10.95	10.39	10.95	2.174086	0
1989-02-01	10.95	11	10.58	10.63	2.110551	0
1989-03-01	10.61	10.85	10.61	10.79	2.172184	0
1989-04-01	10.84	11.19	10.84	11.19	2.252708	0
1989-05-01	11.16	11.41	11.1	11.41	2.297	0
1989-06-01	11.44	11.69	11.44	11.51	2.348727	0
1989-07-01	11.54	12.07	11.54	12.07	2.463	0
1989-08-01	12.08	12.16	11.87	12.06	2.46096	0
1989-09-01	12.13	12.13	11.97	12.08	2.495983	0
1989-10-01	12.1	12.31	11.88	11.98	2.475322	0
1989-11-01	12	12.05	11.82	12.05	2.489784	0
1989-12-01	12.14	12.16	11.19	11.41	2.357548	0
1990-01-01	11.51	11.51	10.82	10.93	2.300155	0
1990-02-01	10.94	11.07	10.67	10.81	2.274903	0
1990-03-01	10.82	11.02	10.82	10.96	2.338151	0
1990-04-01	10.91	11.04	10.69	10.72	2.286951	0
1990-05-01	10.75	11.18	10.75	11.17	2.382951	0
1990-06-01	11.23	11.38	11	11.08	2.396429	0
1990-07-01	11.11	11.22	10.95	11	2.379127	0
1990-08-01	11	11	9.99	10.2	2.2061	0
1990-09-01	10.21	10.24	9.78	9.87	2.165545	0
1990-10-01	10.03	10.04	9.69	9.84	2.158962	0
1990-11-01	9.84	10.39	9.84	10.39	2.279637	0
1990-12-01	10.46	10.71	10.21	10.32	2.264278	0
1991-01-01	10.3	10.7	10.03	10.7	2.387898	0
1991-02-01	10.75	11.22	10.75	10.98	2.450384	0
1991-03-01	11.06	11.18	10.95	11.16	2.524579	0
1991-04-01	11.11	11.46	11.11	11.29	2.553988	0
1991-05-01	11.36	11.5	11.21	11.5	2.601492	0
1991-06-01	11.49	11.49	11.18	11.18	2.562885	0
1991-07-01	11.27	11.48	11.18	11.48	2.631656	0
1991-08-01	11.47	11.66	11.31	11.56	2.649995	0
1991-09-01	11.52	11.6	11.47	11.6	2.693849	0
1991-10-01	11.63	11.73	11.43	11.73	2.724039	0
1991-11-01	11.72	11.85	11.54	11.56	2.684561	0
1991-12-01	11.64	12.05	11.4	12.05	2.798352	0
1992-01-01	12.02	12.08	11.94	11.94	2.813655	0
1992-02-01	11.93	12.13	11.77	11.87	2.797158	0
1992-03-01	11.86	11.86	11.72	11.75	2.803784	0
1992-04-01	11.77	11.97	11.65	11.95	2.851507	0
1992-05-01	11.94	12.12	11.91	11.99	2.861053	0
1992-06-01	11.98	12.01	11.91	12.01	2.901855	0
1992-07-01	12.06	12.43	12.06	12.42	3.000921	0
1992-08-01	12.44	12.45	12.12	12.18	2.942933	0
1992-09-01	12.23	12.43	12.23	12.35	3.020487	0
1992-10-01	12.37	12.37	12.13	12.25	2.996029	0
1992-11-01	12.28	12.41	12.21	12.41	3.035162	0
1992-12-01	12.39	12.51	12.13	12.28	3.003367	0
1993-01-01	12.31	12.39	12.2	12.39	3.067164	0
1993-02-01	12.45	12.61	12.32	12.48	3.089444	0
1993-03-01	12.48	12.69	12.48	12.64	3.167212	0
1993-04-01	12.63	12.78	12.5	12.68	3.177235	0
1993-05-01	12.74	12.78	12.54	12.68	3.177235	0
1993-06-01	12.75	12.8	12.61	12.78	3.240535	0
1993-07-01	12.76	12.87	12.68	12.83	3.253215	0
1993-08-01	12.85	13.09	12.78	13.09	3.319139	0
1993-09-01	13.09	13.13	12.96	13.01	3.337695	0
1993-10-01	13.07	13.2	13.04	13.12	3.365917	0
1993-11-01	13.11	13.12	12.97	13.02	3.34026	0
1993-12-01	13.03	13.14	12.45	12.57	3.224815	0
1994-01-01	12.54	12.88	12.54	12.88	3.342678	0
1994-02-01	12.84	12.86	12.33	12.36	3.207724	0
1994-03-01	12.3	12.32	11.95	11.95	3.136055	0
1994-04-01	11.8	12.12	11.8	12.08	3.170171	0
1994-05-01	12.14	12.23	11.96	12.09	3.172794	0
1994-06-01	12.11	12.24	11.92	11.92	3.164404	0
1994-07-01	11.95	12.17	11.95	12.17	3.230773	0
1994-08-01	12.21	12.38	12.15	12.37	3.283866	0
1994-09-01	12.35	12.35	12.14	12.19	3.273524	0
1994-10-01	12.18	12.28	12.04	12.24	3.286953	0
1994-11-01	12.18	12.18	11.96	12.07	3.241299	0
1994-12-01	12.01	12.17	11.99	12	3.222502	0
1995-01-01	12.01	12.27	12.01	12.27	3.333386	0
1995-02-01	12.26	12.5	12.26	12.5	3.39587	0
1995-03-01	12.48	12.78	12.38	12.75	3.503244	0
1995-04-01	12.78	12.97	12.78	12.97	3.563691	0
1995-05-01	12.98	13.25	12.97	13.24	3.637878	0
1995-06-01	13.24	13.44	13.12	13.35	3.707698	0
1995-07-01	13.38	13.63	13.38	13.59	3.774352	0
1995-08-01	13.57	13.63	13.4	13.63	3.785461	0
1995-09-01	13.68	14.01	13.68	14	3.928725	0
1995-10-01	13.98	14.1	13.91	13.95	3.914693	0
1995-11-01	14.01	14.54	14.01	14.53	4.077454	0
1995-12-01	14.58	14.74	13.96	14.15	3.970819	0
1996-01-01	14.21	14.37	13.91	14.37	4.071543	0
1996-02-01	14.39	14.53	14.13	14.13	4.003543	0
1996-03-01	14.23	14.39	14.11	14.31	4.093989	0
1996-04-01	14.4	14.43	14.11	14.38	4.114016	0
1996-05-01	14.38	14.56	14.16	14.41	4.122598	0
1996-06-01	14.39	14.49	14.32	14.46	4.17729	0
1996-07-01	14.53	14.53	14.07	14.19	4.099293	0
1996-08-01	14.32	14.52	14.25	14.25	4.116626	0
1996-09-01	14.29	14.7	14.23	14.7	4.288113	0
1996-10-01	14.73	15.04	14.73	14.99	4.372707	0
1996-11-01	14.99	15.63	14.99	15.63	4.559402	0
1996-12-01	15.63	15.63	14.34	14.55	4.244357	0
1997-01-01	14.49	14.98	14.49	14.98	4.645936	0
1997-02-01	15.02	15.34	14.93	14.93	4.630432	0
1997-03-01	14.97	15.16	14.63	14.63	4.62482	0
1997-04-01	14.63	15	14.42	15	4.741783	0
1997-05-01	14.98	15.48	14.98	15.45	4.884037	0
1997-06-01	15.44	16.040001	15.44	15.95	5.088201	0
1997-07-01	16.059999	16.75	16.059999	16.75	5.343412	0
1997-08-01	16.67	16.790001	16.200001	16.209999	5.171145	0
