Date,Open,High,Low,Close,Adj Close,Volume
1980-01-01,3.440000,3.830000,3.440000,3.820000,0.841482,0
1980-02-01,3.840000,3.910000,3.770000,3.780000,0.832671,0
1980-03-01,3.760000,3.760000,3.050000,3.240000,0.713718,0
1980-04-01,3.300000,3.360000,3.160000,3.360000,0.740152,0
1980-05-01,3.350000,3.620000,3.350000,3.600000,0.793020,0
1980-06-01,3.600000,3.760000,3.600000,3.680000,0.810643,0
1980-07-01,3.710000,4.170000,3.710000,4.170000,0.918582,0
1980-08-01,4.200000,4.420000,4.170000,4.330000,0.953827,0
1980-09-01,4.360000,4.760000,4.360000,4.470000,0.984666,0
1980-10-01,4.500000,4.770000,4.500000,4.525000,1.004799,0
1980-11-01,4.590000,5.020000,4.580000,4.980000,1.105834,0
1980-12-01,4.880000,4.960000,4.570000,4.960000,1.101393,0
1981-01-01,4.960000,4.980000,4.680000,4.685000,1.040328,0
1981-02-01,4.580000,4.760000,4.580000,4.760000,1.056982,0
1981-03-01,4.770000,5.070000,4.720000,5.060000,1.123599,0
1981-04-01,5.070000,5.220000,5.070000,5.125000,1.138033,0
1981-05-01,5.130000,5.270000,5.040000,5.270000,1.170230,0
1981-06-01,5.270000,5.270000,5.060000,5.060000,1.123599,0
1981-07-01,5.030000,5.030000,4.900000,5.010000,1.112496,0
1981-08-01,5.000000,5.010000,4.790000,4.790000,1.063644,0
1981-09-01,4.790000,4.790000,4.420000,4.420000,0.981483,0
1981-10-01,4.430000,4.615000,4.430000,4.615000,1.050364,0
1981-11-01,4.660000,4.720000,4.630000,4.720000,1.074262,0
1981-12-01,4.710000,4.740000,4.690000,4.740000,1.078814,0
1982-01-01,4.740000,4.740000,4.550000,4.640000,1.056054,0
1982-02-01,4.580000,4.600000,4.510000,4.570000,1.040123,0
1982-03-01,4.600000,4.600000,4.440000,4.550000,1.035570,0
1982-04-01,4.590000,4.800000,4.590000,4.755000,1.082228,0
1982-05-01,4.780000,4.860000,4.700000,4.705000,1.070848,0
1982-06-01,4.670000,4.670000,4.540000,4.615000,1.050364,0
1982-07-01,4.600000,4.710000,4.560000,4.625000,1.052640,0
1982-08-01,4.680000,4.970000,4.510000,4.970000,1.131161,0
1982-09-01,4.950000,5.180000,4.950000,5.120000,1.165301,0
1982-10-01,5.140000,5.380000,4.910000,5.370000,1.222201,0
1982-11-01,5.420000,5.590000,5.420000,5.560000,1.302906,0
1982-12-01,5.610000,5.730000,5.440000,5.620000,1.316966,0
1983-01-01,5.580000,5.850000,5.580000,5.810000,1.361490,0
1983-02-01,5.780000,6.220000,5.770000,6.200000,1.452880,0
1983-03-01,6.240000,6.320000,6.150000,6.290000,1.473971,0
1983-04-01,6.250000,6.520000,6.210000,6.520000,1.527868,0
1983-05-01,6.490000,6.920000,6.490000,6.840000,1.602855,0
1983-06-01,6.840000,7.320000,6.840000,7.170000,1.680186,0
1983-07-01,7.230000,7.260000,6.910000,6.910000,1.619259,0
1983-08-01,6.900000,6.910000,6.740000,6.870000,1.609885,0
1983-09-01,6.900000,7.280000,6.900000,7.150000,1.675499,0
1983-10-01,6.810000,7.000000,6.560000,6.560000,1.537242,0
1983-11-01,6.550000,6.830000,6.480000,6.820000,1.620837,0
1983-12-01,6.810000,6.810000,6.650000,6.790000,1.613708,0
1984-01-01,6.770000,6.990000,6.570000,6.570000,1.561423,0
1984-02-01,6.520000,6.530000,6.060000,6.220000,1.478242,0
1984-03-01,6.250000,6.290000,6.090000,6.230000,1.480619,0
1984-04-01,6.170000,6.260000,5.950000,6.260000,1.487748,0
1984-05-01,6.340000,6.380000,5.790000,5.830000,1.385555,0
1984-06-01,5.960000,6.150000,5.930000,6.080000,1.444970,0
1984-07-01,6.030000,6.030000,5.610000,5.820000,1.383178,0
1984-08-01,5.960000,6.610000,5.960000,6.600000,1.568553,0
1984-09-01,6.530000,6.630000,6.310000,6.310000,1.499631,0
1984-10-01,6.040000,6.200000,5.870000,6.020000,1.430710,0
