Date,Open,High,Low,Close,Adj Close,Volume
1980-01-01,4.590000,4.980000,4.520000,4.970000,0.386041,0
1980-02-01,4.960000,5.090000,4.830000,4.850000,0.376720,0
1980-03-01,4.830000,4.830000,3.960000,4.160000,0.327368,0
1980-04-01,4.230000,4.370000,4.160000,4.370000,0.343894,0
1980-05-01,4.390000,4.650000,4.360000,4.650000,0.365929,0
1980-06-01,4.650000,4.770000,4.650000,4.720000,0.371437,0
1980-07-01,4.730000,5.320000,4.730000,5.320000,0.418654,0
1980-08-01,5.360000,5.690000,5.360000,5.660000,0.445410,0
1980-09-01,5.680000,6.130000,5.680000,5.860000,0.461149,0
1980-10-01,5.900000,6.260000,5.900000,6.030000,0.474527,0
1980-11-01,6.060000,6.490000,6.020000,6.470000,0.509152,0
1980-12-01,6.370000,6.370000,5.960000,6.170000,0.485544,0
1981-01-01,6.210000,6.260000,6.030000,6.120000,0.481609,0
1981-02-01,6.010000,6.110000,5.340000,5.470000,0.430458,0
1981-03-01,5.510000,6.000000,5.510000,6.000000,0.477750,0
1981-04-01,6.050000,6.530000,6.050000,6.470000,0.515174,0
1981-05-01,6.460000,6.740000,6.330000,6.740000,0.536672,0
1981-06-01,6.770000,6.800000,6.470000,6.470000,0.515174,0
1981-07-01,6.430000,6.430000,6.060000,6.240000,0.496860,0
1981-08-01,6.200000,6.290000,5.740000,5.740000,0.457048,0
1981-09-01,5.710000,5.720000,5.140000,5.300000,0.422013,0
1981-10-01,5.320000,5.930000,5.320000,5.930000,0.472176,0
1981-11-01,6.010000,6.070000,5.900000,6.030000,0.480139,0
1981-12-01,6.030000,6.080000,5.900000,6.080000,0.484120,0
1982-01-01,6.070000,6.070000,5.630000,5.840000,0.465010,0
1982-02-01,5.770000,5.860000,5.410000,5.410000,0.430771,0
1982-03-01,5.430000,5.430000,4.970000,5.220000,0.419747,0
1982-04-01,5.270000,5.690000,5.270000,5.680000,0.456736,0
1982-05-01,5.690000,5.780000,5.460000,5.460000,0.439046,0
1982-06-01,5.400000,5.430000,5.130000,5.290000,0.425376,0
1982-07-01,5.280000,5.390000,5.190000,5.200000,0.418139,0
1982-08-01,5.240000,5.590000,4.820000,5.590000,0.449499,0
1982-09-01,5.560000,5.980000,5.560000,5.910000,0.475231,0
1982-10-01,5.930000,6.880000,5.870000,6.800000,0.546797,0
1982-11-01,6.890000,7.590000,6.890000,7.590000,0.610322,0
1982-12-01,7.700000,7.890000,7.310000,7.630000,0.613538,0
1983-01-01,7.530000,8.270000,7.530000,8.270000,0.665001,0
1983-02-01,8.220000,8.780000,8.220000,8.780000,0.706011,0
1983-03-01,8.780000,9.070000,8.720000,9.070000,0.729331,0
1983-04-01,8.980000,9.730000,8.790000,9.730000,0.782402,0
1983-05-01,9.640000,10.450000,9.640000,10.320000,0.829845,0
1983-06-01,10.310000,10.940000,10.310000,10.580000,0.850752,0
1983-07-01,10.670000,10.670000,10.050000,10.050000,0.808134,0
1983-08-01,10.030000,10.040000,9.710000,9.930000,0.798484,0
1983-09-01,9.970000,10.330000,9.970000,10.110000,0.812959,0
1983-10-01,10.040000,10.190000,9.240000,9.240000,0.743001,0
1983-11-01,9.170000,9.750000,8.990000,9.700000,0.779990,0
1983-12-01,9.720000,9.720000,9.180000,9.470000,0.761495,0
1984-01-01,9.360000,9.650000,8.780000,8.780000,0.706011,0
1984-02-01,8.710000,8.710000,7.700000,7.870000,0.632837,0
1984-03-01,7.900000,8.030000,7.710000,7.780000,0.629689,0
1984-04-01,7.750000,7.750000,7.380000,7.570000,0.612692,0
1984-05-01,7.710000,7.880000,7.130000,7.200000,0.582746,0
1984-06-01,7.290000,7.430000,7.170000,7.370000,0.596505,0
1984-07-01,7.350000,7.370000,6.740000,6.850000,0.554418,0
1984-08-01,7.010000,7.900000,7.010000,7.850000,0.635355,0
1984-09-01,7.820000,7.820000,7.490000,7.490000,0.606218,0
1984-10-01,7.440000,7.440000,7.230000,7.270000,0.588411,0
1984-11-01,7.300000,7.320000,6.980000,6.980000,0.564939,0
1984-12-01,6.920000,7.150000,6.790000,7.150000,0.578699,0
1985-01-01,7.110000,8.200000,7.100000,8.200000,0.663682,0
1985-02-01,8.220000,8.580000,8.220000,8.330000,0.674204,0
1985-03-01,8.430000,8.440000,7.760000,7.840000,0.636061,0
1985-04-01,7.830000,7.830000,7.560000,7.560000,0.613345,0
1985-05-01,7.550000,7.910000,7.480000,7.720000,0.626326,0
1985-06-01,7.730000,7.730000,7.280000,7.650000,0.620647,0
1985-07-01,7.670000,7.830000,7.560000,7.730000,0.627137,0
1985-08-01,7.800000,7.800000,7.430000,7.490000,0.607666,0
