Date,Open,High,Low,Close,Adj Close,Volume
1973-05-01,10.500000,10.610000,9.760000,9.930000,2.202526,0
1973-06-01,9.830000,10.150000,9.480000,9.690000,2.149293,0
1973-07-01,9.570000,10.460000,9.480000,10.280000,2.280158,0
1973-08-01,10.180000,10.350000,9.890000,10.350000,2.295685,0
1973-09-01,10.400000,11.140000,10.270000,11.080000,2.457602,0
1973-10-01,11.050000,11.610000,10.850000,10.850000,2.406587,0
1973-11-01,10.780000,10.780000,9.460000,9.520000,2.142272,0
1973-12-01,9.370000,9.870000,9.160000,9.870000,2.221032,0
1974-01-01,9.880000,10.150000,9.290000,9.610000,2.162525,0
1974-02-01,9.430000,9.670000,9.020000,9.660000,2.173776,0
1974-03-01,9.560000,9.780000,8.950000,8.950000,2.014006,0
1974-04-01,8.890000,9.220000,8.540000,8.610000,1.937495,0
1974-05-01,8.840000,8.860000,8.070000,8.110000,1.824982,0
1974-06-01,8.290000,8.660000,7.680000,7.680000,1.728219,0
1974-07-01,7.660000,7.660000,6.910000,6.940000,1.561698,0
1974-08-01,6.900000,7.240000,6.240000,6.400000,1.463632,0
1974-09-01,6.260000,6.420000,5.830000,5.840000,1.335565,0
1974-10-01,5.920000,6.730000,5.910000,6.620000,1.513945,0
1974-11-01,6.600000,6.860000,6.220000,6.530000,1.510192,0
1974-12-01,6.340000,6.470000,6.000000,6.470000,1.496316,0
1975-01-01,6.580000,6.890000,6.450000,6.840000,1.581886,0
1975-02-01,6.910000,7.180000,6.850000,7.070000,1.647154,0
1975-03-01,7.240000,7.730000,7.240000,7.640000,1.779951,0
1975-04-01,7.570000,8.230000,7.410000,8.160000,1.901099,0
1975-05-01,8.200000,8.640000,8.200000,8.520000,1.984972,0
1975-06-01,8.640000,8.870000,8.280000,8.870000,2.066514,0
1975-07-01,8.830000,9.060000,8.140000,8.230000,1.917409,0
1975-08-01,8.100000,8.100000,7.470000,8.000000,1.863824,0
1975-09-01,7.820000,7.870000,7.270000,7.460000,1.738014,0
1975-10-01,7.380000,8.340000,7.380000,7.970000,1.856834,0
1975-11-01,7.890000,8.370000,7.890000,8.250000,1.948529,0
1975-12-01,8.190000,8.200000,7.720000,8.190000,1.934358,0
1976-01-01,8.230000,9.280000,8.230000,9.280000,2.191799,0
1976-02-01,9.270000,9.680000,9.110000,9.430000,2.227227,0
1976-03-01,9.430000,9.630000,9.350000,9.490000,2.241399,0
1976-04-01,9.460000,9.630000,9.150000,9.240000,2.182352,0
1976-05-01,9.090000,9.300000,8.920000,9.020000,2.144181,0
1976-06-01,8.970000,9.450000,8.850000,9.450000,2.246397,0
1976-07-01,9.360000,9.580000,9.250000,9.270000,2.203609,0
1976-08-01,9.250000,9.340000,8.930000,9.060000,2.153689,0
1976-09-01,9.170000,9.460000,9.160000,9.260000,2.201232,0
1976-10-01,9.170000,9.170000,8.710000,8.910000,2.118032,0
1976-11-01,8.940000,9.170000,8.580000,9.100000,2.187836,0
1976-12-01,9.150000,9.630000,9.150000,9.630000,2.315259,0
1977-01-01,9.610000,9.610000,9.300000,9.330000,2.243133,0
1977-02-01,9.370000,9.370000,9.010000,9.010000,2.166198,0
1977-03-01,9.120000,9.360000,9.080000,9.080000,2.183027,0
1977-04-01,9.140000,9.410000,9.030000,9.070000,2.180623,0
1977-05-01,9.130000,9.350000,8.930000,8.930000,2.163589,0
1977-06-01,9.010000,9.600000,9.000000,9.530000,2.308959,0
1977-07-01,9.550000,9.650000,9.260000,9.260000,2.243542,0
1977-08-01,9.260000,9.260000,9.020000,9.070000,2.197508,0
1977-09-01,9.090000,9.200000,9.000000,9.120000,2.209623,0
1977-10-01,9.140000,9.150000,8.660000,8.690000,2.105441,0
1977-11-01,8.600000,9.330000,8.540000,9.160000,2.255191,0
