Date,Open,High,Low,Close,Adj Close,Volume
1973-05-01,11.660000,11.760000,11.110000,11.210000,0.797113,0
1973-06-01,11.190000,11.410000,11.110000,11.280000,0.808148,0
1973-07-01,11.260000,11.830000,11.190000,11.760000,0.842537,0
1973-08-01,11.680000,11.680000,11.090000,11.400000,0.816745,0
1973-09-01,11.470000,12.300000,11.440000,12.280000,0.886401,0
1973-10-01,12.330000,12.770000,12.330000,12.420000,0.896507,0
1973-11-01,12.340000,12.340000,11.060000,11.110000,0.801948,0
1973-12-01,10.940000,11.470000,10.750000,11.470000,0.836797,0
1974-01-01,11.610000,12.140000,11.240000,11.320000,0.825854,0
1974-02-01,11.190000,11.700000,10.980000,11.610000,0.853520,0
1974-03-01,11.540000,11.780000,11.330000,11.330000,0.832936,0
1974-04-01,11.290000,11.370000,10.750000,10.810000,0.794707,0
1974-05-01,10.940000,10.950000,9.980000,10.030000,0.743306,0
1974-06-01,10.150000,10.580000,9.790000,9.790000,0.725520,0
1974-07-01,9.760000,9.900000,9.190000,9.540000,0.706993,0
1974-08-01,9.500000,9.780000,8.730000,8.900000,0.665793,0
1974-09-01,8.780000,8.780000,8.090000,8.090000,0.605198,0
1974-10-01,8.070000,9.010000,8.020000,8.970000,0.671029,0
1974-11-01,9.000000,9.250000,8.640000,8.790000,0.667446,0
1974-12-01,8.650000,8.650000,8.260000,8.520000,0.646945,0
1975-01-01,8.690000,9.530000,8.690000,9.500000,0.721359,0
1975-02-01,9.630000,10.040000,9.610000,9.950000,0.764036,0
1975-03-01,10.060000,10.350000,10.040000,10.260000,0.787840,0
1975-04-01,10.210000,10.740000,10.020000,10.730000,0.823931,0
1975-05-01,10.790000,11.170000,10.790000,11.170000,0.865894,0
1975-06-01,11.340000,11.810000,11.190000,11.810000,0.915506,0
1975-07-01,11.780000,12.040000,11.230000,11.310000,0.876746,0
1975-08-01,11.280000,11.280000,10.760000,11.170000,0.873288,0
1975-09-01,11.090000,11.170000,10.760000,10.880000,0.850616,0
1975-10-01,10.750000,11.170000,10.750000,11.010000,0.860778,0
1975-11-01,10.930000,11.290000,10.930000,11.290000,0.894049,0
1975-12-01,11.280000,11.280000,10.860000,11.190000,0.886129,0
1976-01-01,11.310000,12.620000,11.310000,12.620000,0.999371,0
1976-02-01,12.690000,13.380000,12.650000,13.140000,1.048975,0
1976-03-01,13.130000,13.510000,13.130000,13.430000,1.072126,0
