Date,Open,High,Low,Close,Adj Close,Volume
1980-01-01,9.130000,9.130000,7.940000,8.920000,0.392457,0
1980-02-01,8.990000,9.370000,8.940000,9.130000,0.401697,0
1980-03-01,9.140000,9.140000,6.690000,7.300000,0.321182,0
1980-04-01,7.450000,7.790000,7.150000,7.740000,0.340540,0
1980-05-01,7.650000,8.260000,7.540000,8.260000,0.363419,0
1980-06-01,8.270000,8.750000,8.230000,8.530000,0.375298,0
1980-07-01,8.640000,9.820000,8.640000,9.820000,0.432055,0
1980-08-01,9.840000,10.690000,9.760000,10.410000,0.458014,0
1980-09-01,10.520000,12.220000,10.520000,11.610000,0.510811,0
1980-10-01,11.920000,13.260000,11.920000,12.590000,0.553928,0
1980-11-01,12.850000,14.670000,12.840000,14.670000,0.645443,0
1980-12-01,14.270000,14.270000,12.500000,14.150000,0.622564,0
1981-01-01,14.240000,14.240000,11.720000,11.720000,0.515650,0
1981-02-01,11.190000,11.930000,11.170000,11.930000,0.524890,0
1981-03-01,12.130000,13.090000,11.790000,12.950000,0.569767,0
1981-04-01,13.010000,13.600000,12.850000,13.310000,0.585607,0
1981-05-01,13.270000,14.390000,12.890000,14.280000,0.628284,0
1981-06-01,14.090000,14.090000,12.700000,12.700000,0.558768,0
1981-07-01,12.730000,13.110000,12.180000,13.060000,0.574607,0
1981-08-01,13.030000,13.400000,11.850000,11.850000,0.521370,0
1981-09-01,11.870000,11.890000,10.070000,10.870000,0.478253,0
1981-10-01,10.990000,12.630000,10.990000,12.630000,0.555688,0
1981-11-01,12.950000,13.060000,11.950000,12.620000,0.555248,0
1981-12-01,12.590000,12.590000,12.060000,12.180000,0.535889,0
1982-01-01,12.190000,12.190000,10.250000,10.910000,0.480013,0
1982-02-01,10.660000,10.760000,9.800000,9.930000,0.436895,0
1982-03-01,9.970000,9.970000,8.790000,9.320000,0.410056,0
1982-04-01,9.460000,9.890000,9.460000,9.650000,0.424576,0
1982-05-01,9.780000,9.890000,9.080000,9.080000,0.399497,0
1982-06-01,9.010000,9.270000,8.580000,9.200000,0.404777,0
1982-07-01,9.060000,9.470000,8.910000,9.050000,0.398177,0
1982-08-01,9.190000,9.890000,8.320000,9.890000,0.435135,0
1982-09-01,9.770000,10.550000,9.770000,10.220000,0.449654,0
1982-10-01,10.220000,12.000000,10.220000,11.730000,0.516090,0
1982-11-01,11.990000,12.930000,11.990000,12.930000,0.568887,0
1982-12-01,13.100000,13.620000,12.240000,12.620000,0.555248,0
1983-01-01,12.360000,13.130000,12.270000,13.130000,0.577687,0
1983-02-01,13.090000,13.860000,13.090000,13.790000,0.608874,0
1983-03-01,14.020000,14.610000,13.880000,14.330000,0.632717,0
1983-04-01,14.290000,15.580000,14.050000,15.580000,0.687909,0
1983-05-01,15.380000,16.480000,15.350000,16.000000,0.706453,0
1983-06-01,16.049999,17.580000,16.049999,17.160000,0.757671,0
1983-07-01,17.290001,17.530001,16.209999,16.209999,0.715725,0
1983-08-01,16.129999,16.139999,14.850000,15.680000,0.692324,0
1983-09-01,15.750000,16.730000,15.750000,16.160000,0.713517,0
1983-10-01,16.150000,17.219999,15.770000,15.770000,0.696298,0
1983-11-01,15.880000,16.580000,15.500000,16.260000,0.717933,0
1983-12-01,16.219999,16.219999,15.460000,15.650000,0.690999,0
1984-01-01,15.510000,16.200001,12.700000,12.700000,0.560747,0
1984-02-01,12.580000,12.730000,11.730000,11.990000,0.531161,0
1984-03-01,12.130000,12.310000,11.760000,12.180000,0.539578,0
1984-04-01,12.070000,12.070000,11.500000,11.970000,0.530275,0
1984-05-01,12.130000,12.150000,11.060000,11.260000,0.498822,0
1984-06-01,11.540000,11.790000,11.100000,11.550000,0.511669,0
1984-07-01,11.470000,11.540000,10.770000,11.260000,0.498822,0
1984-08-01,11.510000,12.560000,11.510000,12.380000,0.548438,0
1984-09-01,12.220000,12.600000,12.150000,12.180000,0.539578,0
1984-10-01,11.990000,12.580000,11.760000,12.290000,0.544451,0
1984-11-01,12.380000,12.450000,11.780000,11.780000,0.521858,0
1984-12-01,11.780000,12.320000,11.630000,12.250000,0.542679,0
1985-01-01,12.110000,13.140000,11.980000,13.120000,0.581220,0
1985-02-01,12.970000,13.330000,12.920000,13.240000,0.593900,0
1985-03-01,13.450000,13.450000,12.670000,13.070000,0.586274,0
1985-04-01,13.100000,13.180000,12.750000,12.750000,0.571920,0
1985-05-01,12.580000,13.770000,12.580000,13.770000,0.617674,0
1985-06-01,13.840000,14.610000,13.700000,14.310000,0.641896,0
1985-07-01,14.380000,14.780000,13.900000,14.090000,0.632028,0
1985-08-01,14.300000,14.300000,13.820000,14.080000,0.631579,0
1985-09-01,13.950000,14.070000,13.310000,13.370000,0.599731,0
1985-10-01,13.690000,14.230000,13.270000,14.160000,0.635168,0
1985-11-01,14.320000,15.320000,14.320000,15.320000,0.687201,0
1985-12-01,15.810000,16.240000,15.140000,16.209999,0.727124,0
1986-01-01,16.129999,16.389999,15.630000,16.309999,0.731609,0
1986-02-01,16.559999,17.840000,16.440001,17.840000,0.818969,0
1986-03-01,17.799999,18.850000,17.780001,18.830000,0.864416,0
1986-04-01,18.490000,20.020000,17.799999,18.900000,0.867630,0
1986-05-01,18.889999,20.340000,18.730000,20.260000,0.930062,0
1986-06-01,20.100000,21.010000,19.790001,21.010000,0.964492,0
1986-07-01,21.110001,21.110001,18.879999,19.719999,0.905273,0
1986-08-01,19.670000,20.670000,19.590000,20.570000,0.944294,0
1986-09-01,20.180000,20.350000,17.700001,17.930000,0.823101,0
1986-10-01,18.209999,19.639999,18.209999,19.639999,0.901601,0
1986-11-01,19.639999,19.670000,18.530001,19.580000,0.898846,0
1986-12-01,19.540001,20.100000,14.060000,14.060000,0.645443,0
1987-01-01,14.260000,16.670000,14.260000,16.510000,1.391918,0
1987-02-01,16.700001,18.030001,16.590000,18.030001,1.538700,0
1987-03-01,17.990000,19.090000,17.990000,18.440001,1.573691,0
1987-04-01,18.440001,19.100000,17.900000,18.350000,1.566009,0
1987-05-01,18.389999,18.910000,17.850000,18.690001,1.595026,0
1987-06-01,18.559999,19.530001,18.459999,19.270000,1.644524,0
1987-07-01,19.190001,20.660000,19.190001,20.629999,1.760587,0
1987-08-01,20.540001,21.990000,20.510000,21.590000,1.842515,0
1987-09-01,21.309999,21.750000,20.670000,21.750000,1.856169,0
1987-10-01,22.070000,22.230000,13.000000,15.620000,1.333028,0
1987-11-01,15.730000,15.730000,14.130000,14.130000,1.205870,0
1987-12-01,14.240000,15.790000,12.110000,12.300000,1.049696,0
1988-01-01,12.650000,12.770000,11.380000,11.750000,1.288958,0
1988-02-01,11.650000,12.600000,11.410000,12.600000,1.382201,0
1988-03-01,12.580000,13.100000,12.210000,12.230000,1.341612,0
1988-04-01,12.100000,12.960000,12.100000,12.460000,1.366843,0
1988-05-01,12.520000,12.640000,11.790000,12.260000,1.344904,0
1988-06-01,12.550000,13.290000,12.510000,13.290000,1.457893,0
1988-07-01,13.250000,13.360000,12.380000,12.740000,1.397559,0
1988-08-01,12.750000,12.750000,11.610000,11.750000,1.288958,0
1988-09-01,11.490000,12.230000,11.490000,12.230000,1.341612,0
1988-10-01,12.200000,12.790000,12.180000,12.540000,1.375619,0
1988-11-01,12.490000,12.490000,11.770000,12.300000,1.349292,0
1988-12-01,12.320000,12.520000,11.970000,12.310000,1.350389,0
1989-01-01,12.250000,13.450000,12.250000,13.450000,1.514369,0
1989-02-01,13.500000,13.680000,13.150000,13.190000,1.485094,0
1989-03-01,13.130000,13.930000,13.130000,13.780000,1.551524,0
1989-04-01,13.840000,14.790000,13.810000,14.790000,1.665242,0
1989-05-01,14.770000,15.810000,14.730000,15.770000,1.775583,0
1989-06-01,15.870000,16.320000,15.560000,15.560000,1.751939,0
1989-07-01,15.650000,17.129999,15.650000,17.129999,1.928709,0
1989-08-01,17.000000,17.680000,16.980000,17.680000,1.990634,0
1989-09-01,17.809999,18.139999,17.389999,18.139999,2.042427,0
1989-10-01,18.299999,19.030001,17.010000,17.440001,1.963613,0
1989-11-01,17.490000,17.730000,16.940001,17.670000,1.989508,0
1989-12-01,17.750000,17.780001,16.370001,16.950001,1.908442,0
1990-01-01,17.240000,17.250000,15.550000,15.890000,1.859798,0
1990-02-01,15.990000,16.580000,15.980000,16.389999,1.918319,0
1990-03-01,16.490000,17.260000,16.490000,16.879999,1.975669,0
1990-04-01,16.879999,17.219999,16.180000,16.360001,1.914808,0
1990-05-01,16.459999,18.889999,16.459999,18.770000,2.196879,0
1990-06-01,18.730000,19.010000,18.290001,18.830000,2.203901,0
1990-07-01,18.920000,19.860001,18.100000,18.120001,2.120802,0
1990-08-01,18.040001,18.040001,15.160000,16.379999,1.917148,0
1990-09-01,16.469999,16.469999,15.040000,15.170000,1.775528,0
1990-10-01,15.720000,15.720000,14.270000,14.810000,1.733392,0
1990-11-01,14.860000,16.120001,14.860000,16.120001,1.886718,0
1990-12-01,16.280001,16.490000,15.290000,15.290000,1.789573,0
1991-01-01,15.190000,17.040001,14.510000,17.040001,2.125886,0
1991-02-01,17.090000,18.790001,17.090000,18.580000,2.318015,0
1991-03-01,18.870001,19.840000,18.809999,19.639999,2.450258,0
1991-04-01,19.590000,20.840000,19.320000,19.320000,2.410336,0
1991-05-01,19.480000,19.930000,18.650000,19.790001,2.468972,0
1991-06-01,19.790001,19.790001,18.090000,18.379999,2.293062,0
1991-07-01,18.719999,20.020000,18.299999,20.020000,2.497667,0
1991-08-01,20.100000,21.280001,19.840000,21.100000,2.632406,0
1991-09-01,20.920000,21.290001,20.430000,21.150000,2.638644,0
1991-10-01,21.240000,22.230000,20.690001,22.230000,2.773383,0
1991-11-01,22.120001,23.020000,21.670000,21.889999,2.730965,0
1991-12-01,22.580000,25.830000,22.580000,25.830000,3.222513,0
1992-01-01,25.950001,26.850000,24.610001,25.209999,3.148428,0
1992-02-01,25.309999,25.840000,24.540001,25.240000,3.152174,0
1992-03-01,25.340000,25.340000,24.080000,24.120001,3.012300,0
1992-04-01,24.270000,24.700001,22.400000,23.190001,2.896154,0
1992-05-01,23.100000,23.760000,22.879999,23.760000,2.967340,0
1992-06-01,23.980000,23.980000,21.820000,22.510000,2.811230,0
1992-07-01,22.870001,23.340000,22.450001,23.340000,2.914888,0
1992-08-01,23.500000,23.500000,22.309999,22.799999,2.847448,0
1992-09-01,22.990000,24.139999,22.990000,23.430000,2.926128,0
1992-10-01,23.280001,23.870001,22.650000,23.639999,2.952354,0
1992-11-01,23.770000,24.719999,23.530001,24.719999,3.087233,0
1992-12-01,24.690001,25.030001,24.309999,24.360001,3.042274,0
1993-01-01,24.180000,25.010000,24.080000,24.580000,3.115376,0
1993-02-01,24.900000,25.090000,22.889999,23.580000,2.988632,0
1993-03-01,23.520000,24.330000,23.370001,23.900000,3.029190,0
1993-04-01,23.590000,23.590000,21.860001,22.540001,2.856818,0
1993-05-01,22.670000,24.250000,22.670000,23.920000,3.031725,0
1993-06-01,24.190001,24.190001,23.260000,23.820000,3.019051,0
1993-07-01,23.620001,23.900000,23.230000,23.530001,2.982295,0
1993-08-01,23.700001,24.930000,23.700001,24.930000,3.159737,0
1993-09-01,24.889999,25.820000,24.330000,25.370001,3.215504,0
1993-10-01,25.370001,25.580000,25.000000,25.270000,3.202830,0
1993-11-01,25.410000,25.410000,23.830000,24.719999,3.133120,0
1993-12-01,24.940001,25.180000,22.049999,22.400000,2.839074,0
1994-01-01,22.150000,23.360001,22.150000,23.360001,3.340739,0
1994-02-01,23.330000,23.549999,22.740000,23.209999,3.319288,0
1994-03-01,23.020000,24.080000,22.240000,22.309999,3.190576,0
1994-04-01,21.959999,23.129999,21.660000,22.780001,3.257793,0
1994-05-01,22.910000,22.910000,22.100000,22.780001,3.257793,0
1994-06-01,22.860001,22.860001,21.190001,21.360001,3.054716,0
1994-07-01,21.379999,22.040001,21.379999,21.780001,3.114781,0
1994-08-01,21.920000,22.870001,21.820000,22.770000,3.256363,0
