Date,Open,High,Low,Close,Adj Close,Volume
1986-03-01,9.530000,10.000000,9.530000,10.000000,0.816359,0
1986-04-01,10.000000,10.620000,10.000000,10.620000,0.866974,0
1986-05-01,10.620000,14.650000,10.620000,14.650000,1.195966,0
1986-06-01,14.650000,16.780001,14.650000,16.780001,1.369851,0
1986-07-01,16.780001,16.780001,16.160000,16.160000,1.319237,0
1986-08-01,16.160000,17.150000,16.160000,17.150000,1.400056,0
1986-09-01,17.150000,17.150000,16.540001,16.540001,1.350258,0
1986-10-01,9.200000,9.970000,9.200000,9.970000,0.813910,0
1986-11-01,9.970000,10.180000,9.970000,10.180000,0.831054,0
1986-12-01,10.180000,10.580000,10.180000,10.580000,0.863708,0
1987-01-01,10.620000,11.850000,10.620000,11.790000,0.962488,0
1987-02-01,11.790000,13.940000,11.790000,13.940000,1.138005,0
1987-03-01,13.340000,13.950000,13.340000,13.850000,1.130658,0
1987-04-01,13.880000,14.170000,13.610000,13.920000,1.136372,0
1987-05-01,13.890000,14.200000,13.760000,14.170000,1.156781,0
1987-06-01,14.170000,14.410000,14.110000,14.220000,1.160863,0
1987-07-01,14.210000,14.510000,14.120000,14.510000,1.184538,0
1987-08-01,14.450000,15.030000,14.450000,14.970000,1.222090,0
1987-09-01,14.890000,14.930000,14.590000,14.930000,1.218824,0
1987-10-01,14.390000,14.690000,9.310000,10.910000,0.890648,0
1987-11-01,10.970000,10.970000,9.850000,9.850000,0.827960,0
1987-12-01,9.880000,11.940000,9.450000,11.820000,0.993552,0
1988-01-01,12.270000,12.740000,11.460000,11.850000,0.996074,0
1988-02-01,11.900000,13.030000,11.690000,13.030000,1.095261,0
1988-03-01,13.010000,13.720000,12.900000,13.130000,1.103666,0
1988-04-01,12.970000,13.700000,12.970000,13.420000,1.128043,0
1988-05-01,13.430000,13.550000,12.810000,13.220000,1.111232,0
1988-06-01,13.420000,14.320000,13.420000,14.320000,1.203694,0
1988-07-01,14.350000,14.460000,13.420000,13.590000,1.142333,0
1988-08-01,13.650000,13.670000,13.050000,13.160000,1.106188,0
1988-09-01,13.020000,13.920000,13.020000,13.920000,1.170071,0
1988-10-01,13.820000,14.000000,13.580000,13.650000,1.147376,0
1988-11-01,13.620000,13.620000,13.050000,13.310000,1.118797,0
1988-12-01,13.420000,13.800000,13.360000,13.800000,1.159984,0
1989-01-01,13.790000,14.600000,13.790000,14.600000,1.238171,0
1989-02-01,14.660000,14.920000,14.560000,14.620000,1.239867,0
1989-03-01,14.630000,15.010000,14.580000,14.760000,1.251740,0
1989-04-01,14.870000,16.020000,14.870000,16.020000,1.358596,0
1989-05-01,16.010000,17.150000,16.010000,17.150000,1.454427,0
1989-06-01,17.230000,17.500000,16.879999,16.879999,1.431529,0
