Date,Open,High,Low,Close,Adj Close,Volume
1984-12-01,0.977000,0.977000,0.977000,0.977000,0.137587,0
1985-01-01,0.977000,1.163000,0.977000,1.163000,0.163781,0
1985-02-01,1.176000,1.271000,1.176000,1.271000,0.178990,0
1985-03-01,1.287000,1.305000,1.276000,1.289000,0.181525,0
1985-04-01,1.291000,1.319000,1.285000,1.302000,0.183356,0
1985-05-01,1.303000,1.392000,1.300000,1.390000,0.195749,0
1985-06-01,1.394000,1.415000,1.377000,1.415000,0.199269,0
1985-07-01,1.426000,1.488000,1.426000,1.476000,0.207860,0
1985-08-01,1.493000,1.500000,1.456000,1.487000,0.209409,0
1985-09-01,1.488000,1.488000,1.342000,1.342000,0.188989,0
1985-10-01,1.355000,1.426000,1.331000,1.424000,0.200681,0
1985-11-01,1.431000,1.514000,1.431000,1.514000,0.213365,0
1985-12-01,1.513000,1.599000,1.513000,1.593000,0.224498,0
1986-01-01,1.599000,1.708000,1.599000,1.706000,0.240423,0
1986-02-01,1.720000,1.830000,1.720000,1.830000,0.257898,0
1986-03-01,1.827000,1.922000,1.821000,1.922000,0.270863,0
1986-04-01,1.915000,2.012000,1.889000,1.965000,0.276923,0
1986-05-01,1.958000,2.013000,1.945000,2.013000,0.283688,0
1986-06-01,2.008000,2.030000,1.963000,2.030000,0.286084,0
1986-07-01,2.035000,2.048000,1.855000,1.855000,0.261421,0
1986-08-01,1.850000,1.947000,1.823000,1.947000,0.274387,0
1986-09-01,1.932000,1.936000,1.718000,1.748000,0.246342,0
1986-10-01,1.767000,1.792000,1.650000,1.702000,0.239859,0
1986-11-01,1.710000,1.711000,1.620000,1.676000,0.254517,0
1986-12-01,1.668000,1.725000,1.639000,1.647000,0.250113,0
1987-01-01,1.677000,1.850000,1.677000,1.850000,0.280941,0
1987-02-01,1.888000,2.048000,1.888000,2.048000,0.311009,0
1987-03-01,2.036000,2.101000,2.027000,2.027000,0.307820,0
1987-04-01,2.043000,2.097000,1.959000,2.020000,0.306757,0
1987-05-01,2.024000,2.052000,1.950000,2.038000,0.309490,0
1987-06-01,2.042000,2.120000,2.027000,2.079000,0.315716,0
1987-07-01,2.080000,2.179000,2.080000,2.179000,0.330902,0
1987-08-01,2.166000,2.308000,2.159000,2.281000,0.346392,0
1987-09-01,2.266000,2.267000,2.176000,2.267000,0.344266,0
1987-10-01,2.297000,2.343000,1.408000,1.584000,0.240546,0
1987-11-01,1.605000,1.605000,1.488000,1.488000,0.225967,0
1987-12-01,1.488000,1.541000,1.364000,1.464000,0.222323,0
1988-01-01,1.502000,1.547000,1.453000,1.516000,0.263572,0
1988-02-01,1.521000,1.617000,1.511000,1.617000,0.281132,0
1988-03-01,1.622000,1.700000,1.622000,1.654000,0.287565,0
1988-04-01,1.642000,1.723000,1.642000,1.704000,0.296258,0
1988-05-01,1.708000,1.714000,1.645000,1.689000,0.293650,0
1988-06-01,1.712000,1.801000,1.711000,1.801000,0.313122,0
1988-07-01,1.801000,1.810000,1.770000,1.796000,0.312253,0
1988-08-01,1.802000,1.810000,1.729000,1.752000,0.304603,0
1988-09-01,1.735000,1.819000,1.735000,1.819000,0.316252,0
1988-10-01,1.806000,1.838000,1.802000,1.818000,0.316078,0
1988-11-01,1.818000,1.822000,1.727000,1.759000,0.305820,0
1988-12-01,1.770000,1.778000,1.733000,1.768000,0.307385,0
1989-01-01,1.759000,1.882000,1.759000,1.882000,0.332856,0
1989-02-01,1.893000,1.927000,1.871000,1.877000,0.331972,0
1989-03-01,1.886000,1.959000,1.886000,1.959000,0.346475,0
1989-04-01,1.966000,2.055000,1.965000,2.055000,0.363453,0
1989-05-01,2.054000,2.147000,2.054000,2.147000,0.379725,0
1989-06-01,2.160000,2.195000,2.142000,2.142000,0.378840,0
1989-07-01,2.144000,2.236000,2.144000,2.236000,0.395466,0
1989-08-01,2.239000,2.336000,2.239000,2.336000,0.413152,0
1989-09-01,2.345000,2.345000,2.226000,2.254000,0.398649,0
1989-10-01,2.261000,2.308000,2.160000,2.178000,0.401523,0
1989-11-01,2.178000,2.202000,2.145000,2.198000,0.405210,0
1989-12-01,2.204000,2.209000,1.942000,2.014000,0.371289,0
1990-01-01,2.029000,2.037000,1.855000,1.872000,0.378935,0
1990-02-01,1.880000,1.930000,1.880000,1.923000,0.389258,0
1990-03-01,1.929000,2.015000,1.929000,1.996000,0.404035,0
1990-04-01,1.983000,2.000000,1.932000,1.938000,0.392294,0
1990-05-01,1.944000,2.071000,1.944000,2.065000,0.418002,0
1990-06-01,2.080000,2.091000,2.043000,2.069000,0.418812,0
1990-07-01,2.072000,2.123000,2.043000,2.043000,0.413549,0
1990-08-01,2.036000,2.036000,1.787000,1.866000,0.377720,0
1990-09-01,1.870000,1.882000,1.700000,1.707000,0.345535,0
1990-10-01,1.741000,1.745000,1.616000,1.671000,0.349460,0
1990-11-01,1.679000,1.787000,1.679000,1.787000,0.373720,0
