Date,Open,High,Low,Close,Adj Close,Volume
1985-12-01,1.000000,1.000000,0.980000,0.980000,0.195953,0
1986-01-01,0.971000,0.988000,0.950000,0.988000,0.197553,0
1986-02-01,0.990000,1.057000,0.990000,1.057000,0.211350,0
1986-03-01,1.057000,1.152000,1.057000,1.152000,0.230345,0
1986-04-01,1.142000,1.214000,1.111000,1.172000,0.234344,0
1986-05-01,1.162000,1.306000,1.156000,1.306000,0.261138,0
1986-06-01,1.299000,1.338000,1.277000,1.338000,0.267536,0
1986-07-01,1.345000,1.348000,1.162000,1.162000,0.232345,0
1986-08-01,1.150000,1.189000,1.141000,1.162000,0.232345,0
1986-09-01,1.151000,1.160000,1.051000,1.077000,0.215349,0
1986-10-01,1.078000,1.172000,1.078000,1.172000,0.234344,0
1986-11-01,1.182000,1.204000,1.148000,1.204000,0.240743,0
1986-12-01,1.203000,1.221000,1.115000,1.119000,0.223747,0
1987-01-01,1.136000,1.217000,1.136000,1.212000,0.242342,0
1987-02-01,1.222000,1.353000,1.222000,1.353000,0.270536,0
1987-03-01,1.359000,1.433000,1.359000,1.394000,0.278734,0
1987-04-01,1.394000,1.442000,1.318000,1.351000,0.270136,0
1987-05-01,1.341000,1.375000,1.304000,1.375000,0.274935,0
1987-06-01,1.377000,1.478000,1.376000,1.450000,0.289931,0
1987-07-01,1.445000,1.523000,1.445000,1.523000,0.304528,0
1987-08-01,1.513000,1.581000,1.507000,1.557000,0.311326,0
1987-09-01,1.544000,1.544000,1.417000,1.446000,0.289131,0
1987-10-01,1.455000,1.468000,0.922000,1.014000,0.202752,0
1987-11-01,1.030000,1.030000,0.944000,0.944000,0.188755,0
1987-12-01,0.948000,1.001000,0.908000,0.934000,0.186756,0
1988-01-01,0.962000,0.993000,0.942000,0.993000,0.220491,0
1988-02-01,0.998000,1.108000,0.998000,1.108000,0.246026,0
1988-03-01,1.109000,1.144000,1.090000,1.122000,0.249135,0
1988-04-01,1.124000,1.174000,1.124000,1.156000,0.256684,0
1988-05-01,1.156000,1.164000,1.097000,1.124000,0.249579,0
1988-06-01,1.141000,1.223000,1.138000,1.223000,0.271562,0
1988-07-01,1.217000,1.220000,1.189000,1.212000,0.269119,0
1988-08-01,1.218000,1.224000,1.185000,1.209000,0.268453,0
1988-09-01,1.195000,1.284000,1.195000,1.280000,0.284218,0
1988-10-01,1.281000,1.323000,1.277000,1.308000,0.290435,0
1988-11-01,1.308000,1.309000,1.250000,1.289000,0.286217,0
1988-12-01,1.289000,1.289000,1.241000,1.274000,0.282886,0
1989-01-01,1.260000,1.337000,1.260000,1.337000,0.301874,0
1989-02-01,1.337000,1.375000,1.315000,1.319000,0.297810,0
1989-03-01,1.318000,1.382000,1.318000,1.382000,0.312035,0
1989-04-01,1.385000,1.458000,1.385000,1.458000,0.329194,0
1989-05-01,1.461000,1.561000,1.461000,1.561000,0.352450,0
1989-06-01,1.569000,1.582000,1.488000,1.488000,0.335968,0
1989-07-01,1.497000,1.608000,1.497000,1.608000,0.374078,0
1989-08-01,1.614000,1.686000,1.614000,1.686000,0.392224,0
1989-09-01,1.693000,1.693000,1.661000,1.682000,0.391293,0
1989-10-01,1.689000,1.730000,1.584000,1.601000,0.372450,0
1989-11-01,1.608000,1.611000,1.580000,1.611000,0.374776,0
1989-12-01,1.614000,1.617000,1.304000,1.370000,0.318711,0
1990-01-01,1.392000,1.409000,1.248000,1.263000,0.343187,0
1990-02-01,1.265000,1.317000,1.265000,1.307000,0.355143,0
1990-03-01,1.325000,1.423000,1.325000,1.414000,0.384218,0
1990-04-01,1.404000,1.439000,1.388000,1.394000,0.378783,0
1990-05-01,1.391000,1.580000,1.391000,1.580000,0.429324,0
1990-06-01,1.587000,1.595000,1.530000,1.560000,0.423889,0
1990-07-01,1.571000,1.637000,1.496000,1.496000,0.406499,0
1990-08-01,1.492000,1.492000,1.221000,1.281000,0.348078,0
1990-09-01,1.277000,1.283000,1.121000,1.138000,0.309222,0
1990-10-01,1.169000,1.182000,1.069000,1.085000,0.294821,0
1990-11-01,1.088000,1.233000,1.088000,1.233000,0.335036,0
1990-12-01,1.247000,1.298000,1.247000,1.298000,0.352698,0
1991-01-01,1.289000,1.424000,1.234000,1.424000,0.387848,0
1991-02-01,1.428000,1.556000,1.428000,1.556000,0.423801,0
1991-03-01,1.578000,1.718000,1.578000,1.718000,0.467924,0
1991-04-01,1.711000,1.814000,1.711000,1.743000,0.474733,0
1991-05-01,1.765000,1.887000,1.715000,1.887000,0.513954,0
1991-06-01,1.883000,1.883000,1.821000,1.827000,0.497612,0
1991-07-01,1.854000,1.944000,1.846000,1.944000,0.529478,0
1991-08-01,1.942000,2.051000,1.932000,2.047000,0.557532,0
1991-09-01,2.028000,2.036000,1.983000,2.025000,0.551540,0
1991-10-01,2.037000,2.037000,1.919000,1.988000,0.541462,0
1991-11-01,1.975000,2.095000,1.949000,1.949000,0.530840,0
1991-12-01,1.984000,2.128000,1.891000,2.128000,0.579593,0
1992-01-01,2.138000,2.287000,2.138000,2.246000,0.627491,0
1992-02-01,2.271000,2.378000,2.271000,2.354000,0.657664,0
1992-03-01,2.359000,2.379000,2.285000,2.307000,0.644533,0
1992-04-01,2.312000,2.338000,2.164000,2.213000,0.618271,0
1992-05-01,2.195000,2.259000,2.193000,2.259000,0.631123,0
1992-06-01,2.267000,2.267000,2.030000,2.068000,0.577761,0
1992-07-01,2.087000,2.160000,2.004000,2.160000,0.628512,0
1992-08-01,2.167000,2.167000,2.083000,2.111000,0.614255,0
1992-09-01,2.123000,2.185000,2.112000,2.174000,0.632586,0
1992-10-01,2.164000,2.337000,2.117000,2.323000,0.675942,0
1992-11-01,2.346000,2.499000,2.331000,2.499000,0.727154,0
1992-12-01,2.475000,2.490000,2.402000,2.464000,0.716970,0
1993-01-01,2.435000,2.520000,2.416000,2.481000,0.730880,0
1993-02-01,2.503000,2.573000,2.343000,2.386000,0.702894,0
1993-03-01,2.381000,2.571000,2.381000,2.571000,0.757394,0
1993-04-01,2.561000,2.561000,2.358000,2.365000,0.696708,0
1993-05-01,2.375000,2.506000,2.375000,2.496000,0.753241,0
1993-06-01,2.512000,2.524000,2.359000,2.436000,0.735134,0
1993-07-01,2.441000,2.466000,2.394000,2.448000,0.738755,0
1993-08-01,2.448000,2.567000,2.448000,2.560000,0.772555,0
1993-09-01,2.576000,2.638000,2.509000,2.638000,0.796093,0
1993-10-01,2.628000,2.720000,2.628000,2.679000,0.808466,0
1993-11-01,2.702000,2.729000,2.661000,2.705000,0.816312,0
1993-12-01,2.723000,2.738000,2.458000,2.514000,0.758673,0
1994-01-01,2.482000,2.482000,2.376000,2.402000,0.783868,0
1994-02-01,2.395000,2.492000,2.353000,2.492000,0.813239,0
1994-03-01,2.488000,2.578000,2.439000,2.439000,0.795943,0
1994-04-01,2.406000,2.582000,2.406000,2.513000,0.820092,0
1994-05-01,2.518000,2.518000,2.363000,2.389000,0.779625,0
1994-06-01,2.391000,2.421000,2.290000,2.369000,0.773099,0
1994-07-01,2.354000,2.409000,2.354000,2.409000,0.786152,0
1994-08-01,2.420000,2.562000,2.393000,2.562000,0.836082,0
1994-09-01,2.544000,2.590000,2.458000,2.512000,0.819766,0
1994-10-01,2.509000,2.557000,2.470000,2.523000,0.823355,0
1994-11-01,2.504000,2.532000,2.394000,2.435000,0.794637,0
1994-12-01,2.395000,2.412000,2.327000,2.388000,0.779299,0
1995-01-01,2.368000,2.415000,2.355000,2.369000,0.773099,0
1995-02-01,2.382000,2.446000,2.381000,2.391000,0.780278,0
1995-03-01,2.405000,2.418000,2.324000,2.418000,0.789089,0
1995-04-01,2.419000,2.427000,2.300000,2.324000,0.758413,0
1995-05-01,2.315000,2.399000,2.301000,2.365000,0.771793,0
1995-06-01,2.363000,2.516000,2.363000,2.516000,0.821071,0
1995-07-01,2.520000,2.670000,2.520000,2.670000,0.871327,0
1995-08-01,2.660000,2.676000,2.622000,2.633000,0.859252,0
1995-09-01,2.655000,2.731000,2.655000,2.712000,0.885033,0
1995-10-01,2.697000,2.697000,2.556000,2.591000,0.845546,0
1995-11-01,2.621000,2.731000,2.621000,2.721000,0.887970,0
1995-12-01,2.700000,2.720000,2.614000,2.674000,0.872632,0
1996-01-01,2.692000,2.692000,2.486000,2.596000,0.847178,0
1996-02-01,2.619000,2.819000,2.607000,2.788000,0.909835,0
1996-03-01,2.831000,3.040000,2.831000,2.994000,0.977061,0
1996-04-01,3.006000,3.169000,2.920000,3.169000,1.034170,0
1996-05-01,3.201000,3.356000,3.158000,3.321000,1.083774,0
1996-06-01,3.325000,3.394000,3.193000,3.262000,1.064520,0
1996-07-01,3.262000,3.262000,2.869000,2.950000,0.962702,0
1996-08-01,2.999000,3.263000,2.999000,3.229000,1.053751,0
1996-09-01,3.219000,3.384000,3.211000,3.345000,1.091606,0
1996-10-01,3.322000,3.428000,3.247000,3.279000,1.070068,0
1996-11-01,3.282000,3.415000,3.282000,3.405000,1.111187,0
1996-12-01,3.451000,3.451000,3.221000,3.224000,1.052119,0
1997-01-01,3.178000,3.209000,3.114000,3.209000,1.049693,0
1997-02-01,3.211000,3.364000,3.204000,3.325000,1.087637,0
1997-03-01,3.348000,3.523000,3.348000,3.367000,1.101376,0
1997-04-01,3.368000,3.443000,3.276000,3.383000,1.106609,0
1997-05-01,3.372000,3.540000,3.372000,3.540000,1.170068,0
1997-06-01,3.542000,3.765000,3.542000,3.765000,1.244436,0
1997-07-01,3.798000,4.172000,3.798000,4.172000,1.378961,0
1997-08-01,4.123000,4.176000,4.019000,4.032000,1.332687,0
1997-09-01,4.120000,4.382000,4.120000,4.293000,1.418955,0
1997-10-01,4.306000,4.336000,3.986000,4.269000,1.411022,0
1997-11-01,4.383000,4.618000,4.383000,4.580000,1.513816,0
1997-12-01,4.678000,4.713000,4.206000,4.506000,1.489357,0
1998-01-01,4.470000,4.644000,4.352000,4.584000,1.520336,0
1998-02-01,4.697000,5.007000,4.697000,5.003000,1.659302,0
1998-03-01,5.031000,5.371000,5.031000,5.348000,1.773725,0
1998-04-01,5.418000,5.455000,5.034000,5.258000,1.743876,0
1998-05-01,5.275000,5.378000,5.230000,5.349000,1.797444,0
1998-06-01,5.388000,5.715000,5.388000,5.644000,1.896574,0
1998-07-01,5.717000,5.959000,5.454000,5.487000,1.843817,0
1998-08-01,5.464000,5.699000,4.785000,4.785000,1.607921,0
1998-09-01,5.019000,5.259000,4.810000,4.810000,1.616322,0
1998-10-01,4.570000,5.280000,4.459000,5.259000,1.767201,0
1998-11-01,5.353000,5.870000,5.266000,5.776000,1.940930,0
1998-12-01,5.828000,6.483000,5.718000,6.483000,2.178506,0
1999-01-01,6.409000,6.764000,6.269000,6.764000,2.272932,0
1999-02-01,6.750000,6.801000,6.449000,6.750000,2.268228,0
1999-03-01,6.759000,7.052000,6.621000,6.864000,2.306536,0
1999-04-01,6.848000,7.254000,6.438000,6.755000,2.269908,0
1999-05-01,6.910000,6.910000,6.421000,6.550000,2.201020,0
1999-06-01,6.565000,7.030000,6.500000,7.021000,2.359293,0
1999-07-01,7.042000,7.179000,6.698000,6.698000,2.250753,0
1999-08-01,6.653000,6.653000,6.030000,6.030000,2.026284,0
1999-09-01,6.063000,6.096000,5.910000,6.060000,2.036364,0
1999-10-01,6.063000,6.501000,5.896000,6.354000,2.135158,0
1999-11-01,6.286000,6.685000,6.279000,6.614000,2.222526,0
1999-12-01,6.691000,6.691000,5.489000,5.799000,1.948659,0
2000-01-01,5.617000,5.644000,5.121000,5.183000,2.053874,0
2000-02-01,5.351000,5.521000,4.698000,5.043000,1.998396,0
2000-03-01,4.984000,5.827000,4.750000,5.827000,2.309072,0
2000-04-01,5.918000,5.981000,4.861000,4.994000,1.978978,0
2000-05-01,5.144000,5.144000,4.664000,4.778000,2.086285,0
2000-06-01,4.895000,5.085000,4.552000,4.829000,2.108554,0
2000-07-01,4.806000,5.290000,4.712000,4.712000,2.057467,0
2000-08-01,4.743000,5.018000,4.679000,4.679000,2.043057,0
2000-09-01,4.775000,5.154000,4.775000,4.808000,2.099384,0
2000-10-01,4.714000,4.763000,4.277000,4.678000,2.042621,0
2000-11-01,4.691000,4.760000,4.460000,4.571000,1.995900,0
2000-12-01,4.561000,4.588000,4.101000,4.471000,1.952236,0
2001-01-01,4.305000,4.819000,4.305000,4.819000,2.192003,0
2001-02-01,4.834000,4.856000,4.559000,4.633000,2.107398,0
2001-03-01,4.557000,4.643000,4.265000,4.407000,2.004598,0
2001-04-01,4.382000,4.420000,4.095000,4.392000,1.997775,0
2001-05-01,4.461000,4.670000,4.357000,4.527000,2.131287,0
2001-06-01,4.538000,4.662000,4.393000,4.499000,2.118105,0
