Date,Open,High,Low,Close,Adj Close,Volume
1980-01-01,14.060000,14.860000,14.060000,14.860000,1.478482,0
1980-02-01,14.860000,14.860000,14.700000,14.700000,1.462563,0
1980-03-01,14.700000,14.700000,13.340000,13.340000,1.327251,0
1980-04-01,13.340000,14.060000,13.340000,14.060000,1.398887,0
1980-05-01,14.060000,14.330000,12.200000,12.850000,1.278499,0
1980-06-01,12.850000,13.510000,12.850000,13.510000,1.565803,0
1980-07-01,13.510000,14.360000,13.510000,14.360000,1.664318,0
1980-08-01,14.360000,14.680000,14.360000,14.680000,1.701406,0
1980-09-01,14.680000,15.260000,14.680000,15.260000,1.768628,0
1980-10-01,15.260000,15.450000,15.260000,15.450000,1.790648,0
1980-11-01,15.450000,16.190001,15.450000,16.190001,1.876415,0
1980-12-01,16.190001,16.190001,16.080000,16.080000,1.863666,0
1981-01-01,16.080000,16.080000,15.760000,15.760000,1.826578,0
1981-02-01,15.760000,15.770000,15.760000,15.770000,1.827737,0
1981-03-01,15.770000,16.549999,15.770000,16.549999,1.918138,0
1981-04-01,16.549999,16.670000,16.549999,16.670000,1.932047,0
1981-05-01,16.670000,16.670000,13.110000,13.430000,1.556532,0
1981-06-01,13.430000,13.430000,13.330000,13.330000,1.639349,0
1981-07-01,13.330000,13.330000,13.260000,13.260000,1.630741,0
1981-08-01,13.260000,13.260000,12.970000,12.970000,1.595076,0
1981-09-01,12.970000,12.970000,12.670000,12.670000,1.558182,0
1981-10-01,12.670000,13.350000,12.670000,13.350000,1.641809,0
1981-11-01,13.350000,14.030000,13.350000,14.030000,1.725437,0
1981-12-01,14.030000,14.030000,13.850000,13.850000,1.703301,0
1982-01-01,13.850000,13.850000,13.820000,13.820000,1.699610,0
1982-02-01,13.820000,13.820000,13.670000,13.670000,1.681164,0
1982-03-01,13.670000,13.670000,13.660000,13.660000,1.679933,0
1982-04-01,13.660000,14.130000,13.660000,14.130000,1.737735,0
1982-05-01,14.130000,14.130000,11.650000,11.970000,1.472094,0
1982-06-01,11.970000,11.970000,11.840000,11.840000,1.586337,0
1982-07-01,11.840000,12.000000,11.840000,12.000000,1.607773,0
1982-08-01,12.000000,12.840000,12.000000,12.840000,1.720318,0
