Date,Open,High,Low,Close,Adj Close,Volume
1980-01-01,3.333333,3.503333,3.326667,3.480000,0.285020,0
1980-02-01,3.503333,3.593333,3.500000,3.570000,0.292391,0
1980-03-01,3.536667,3.536667,3.173333,3.280000,0.268639,0
1980-04-01,3.273333,3.360000,3.210000,3.360000,0.275191,0
1980-05-01,3.330000,3.440000,3.306667,3.390000,0.277648,0
1980-06-01,3.403333,3.586667,3.403333,3.520000,0.290500,0
1980-07-01,3.530000,3.733333,3.530000,3.710000,0.306180,0
1980-08-01,3.686667,3.826667,3.663333,3.720000,0.307005,0
1980-09-01,3.753333,3.996667,3.753333,3.860000,0.318559,0
1980-10-01,3.930000,4.166667,3.930000,3.930000,0.324336,0
1980-11-01,3.993333,4.500000,3.993333,4.500000,0.373984,0
1980-12-01,4.400000,4.400000,4.016667,4.270000,0.354869,0
1981-01-01,4.293334,4.333333,4.070000,4.070000,0.338248,0
1981-02-01,3.986667,4.080000,3.970000,4.080000,0.339079,0
1981-03-01,4.106667,4.216667,4.030000,4.200000,0.349052,0
1981-04-01,4.220000,4.230000,4.050000,4.050000,0.336586,0
1981-05-01,4.050000,4.050000,3.920000,3.980000,0.330768,0
1981-06-01,3.960000,3.976667,3.880000,3.880000,0.324326,0
1981-07-01,3.876667,3.886667,3.770000,3.820000,0.319310,0
1981-08-01,3.870000,3.983333,3.686667,3.690000,0.308444,0
1981-09-01,3.696667,3.706667,3.310000,3.460000,0.289218,0
1981-10-01,3.500000,3.670000,3.500000,3.640000,0.304264,0
1981-11-01,3.740000,3.910000,3.606667,3.910000,0.328582,0
1981-12-01,3.893333,3.893333,3.773333,3.820000,0.321019,0
1982-01-01,3.796667,3.796667,3.573333,3.770000,0.316817,0
1982-02-01,3.693333,3.696667,3.530000,3.560000,0.299169,0
1982-03-01,3.560000,3.576667,3.353333,3.490000,0.293287,0
1982-04-01,3.540000,3.716667,3.540000,3.640000,0.305892,0
1982-05-01,3.663333,3.763333,3.580000,3.580000,0.300850,0
1982-06-01,3.586667,3.586667,3.440000,3.450000,0.289925,0
1982-07-01,3.420000,3.543333,3.386667,3.420000,0.289324,0
1982-08-01,3.496667,3.800000,3.303333,3.800000,0.321471,0
1982-09-01,3.753333,3.953333,3.753333,3.830000,0.324009,0
1982-10-01,3.876667,4.250000,3.853333,4.080000,0.345158,0
1982-11-01,4.126667,4.340000,4.093333,4.300000,0.365448,0
1982-12-01,4.283333,4.466667,4.210000,4.300000,0.365448,0
1983-01-01,4.233333,4.526667,4.233333,4.500000,0.382446,0
1983-02-01,4.443333,4.590000,4.443333,4.530000,0.384995,0
1983-03-01,4.623333,4.693333,4.526667,4.660000,0.396044,0
1983-04-01,4.660000,4.900000,4.616667,4.900000,0.416441,0
1983-05-01,4.840000,4.970000,4.746666,4.770000,0.405393,0
1983-06-01,4.776667,5.106667,4.776667,5.040000,0.430300,0
1983-07-01,5.073333,5.076667,4.883333,4.990000,0.426031,0
1983-08-01,4.816667,4.876667,4.693333,4.830000,0.412371,0
1983-09-01,4.820000,5.080000,4.820000,4.970000,0.424324,0
1983-10-01,5.006667,5.203333,4.840000,4.840000,0.413225,0
1983-11-01,4.863333,4.976666,4.816667,4.850000,0.414078,0
1983-12-01,4.813334,4.840000,4.660000,4.820000,0.411517,0
1984-01-01,4.786667,4.890000,4.600000,4.610000,0.393588,0
1984-02-01,4.620000,4.670000,4.463333,4.540000,0.387612,0
1984-03-01,4.556667,4.623333,4.456666,4.550000,0.388465,0
1984-04-01,4.526667,4.650000,4.440000,4.650000,0.397003,0
1984-05-01,4.676667,4.680000,4.260000,4.320000,0.368829,0
1984-06-01,4.380000,4.443333,4.283333,4.400000,0.377931,0
1984-07-01,4.393333,4.410000,4.236667,4.360000,0.374495,0
1984-08-01,4.456666,4.793334,4.456666,4.740000,0.407134,0
1984-09-01,4.690000,4.843333,4.660000,4.700000,0.403699,0
1984-10-01,4.643333,4.750000,4.516667,4.700000,0.403699,0
1984-11-01,4.730000,4.820000,4.570000,4.630000,0.397686,0
1984-12-01,4.586667,4.740000,4.563334,4.730000,0.406275,0
1985-01-01,4.683333,5.060000,4.640000,5.060000,0.434620,0
1985-02-01,5.040000,5.293334,5.040000,5.130000,0.440633,0
1985-03-01,5.163333,5.163333,5.050000,5.100000,0.438056,0
1985-04-01,5.106667,5.106667,4.960000,4.960000,0.426031,0
1985-05-01,4.950000,5.146667,4.950000,5.110000,0.438915,0
1985-06-01,5.106667,5.420000,5.013333,5.120000,0.439774,0
1985-07-01,5.113333,5.223333,5.100000,5.200000,0.446645,0
1985-08-01,5.206666,5.253334,5.130000,5.220000,0.448363,0
1985-09-01,5.210000,5.260000,5.203333,5.260000,0.451799,0
1985-10-01,5.353333,5.470000,5.353333,5.470000,0.469836,0
1985-11-01,5.483333,5.616667,5.483333,5.600000,0.481002,0
1985-12-01,5.570000,5.750000,5.563334,5.750000,0.496332,0
1986-01-01,5.730000,5.810000,5.730000,5.810000,0.501511,0
1986-02-01,5.800000,5.990000,5.800000,5.990000,0.517048,0
1986-03-01,5.990000,6.193333,5.990000,6.193333,0.534600,0
1986-04-01,6.176667,6.283333,6.163333,6.250000,0.539491,0
1986-05-01,6.240000,6.393333,6.240000,6.383333,0.551000,0
1986-06-01,6.363333,6.576667,6.363333,6.576667,0.567688,0
1986-07-01,6.583333,6.600000,6.286667,6.296667,0.543519,0
1986-08-01,6.283333,6.433333,6.233333,6.433333,0.555316,0
1986-09-01,6.423333,6.503334,6.250000,6.300000,0.543807,0
1986-10-01,6.323333,6.600000,6.323333,6.600000,0.569703,0
1986-11-01,6.623333,6.673333,6.130000,6.186666,0.534024,0
1986-12-01,6.173333,6.216667,6.160000,6.213333,0.572722,0
1987-01-01,6.253334,6.760000,6.253334,6.760000,0.623112,0
1987-02-01,6.810000,7.200000,6.810000,7.200000,0.663669,0
1987-03-01,7.213333,7.450000,7.213333,7.400000,0.682105,0
1987-04-01,7.410000,7.533333,7.386667,7.496666,0.691014,0
1987-05-01,7.510000,7.643333,7.510000,7.620000,0.702383,0
1987-06-01,7.613333,7.823333,7.613333,7.806667,0.719590,0
1987-07-01,7.806667,8.190000,7.806667,8.190000,0.754924,0
1987-08-01,8.176666,8.276667,8.156667,8.260000,0.761376,0
1987-09-01,8.236667,8.350000,8.173333,8.350000,0.769672,0
1987-10-01,8.360000,8.376667,6.416667,6.750000,0.622190,0
1987-11-01,6.840000,6.840000,6.683333,6.683333,0.616045,0
1987-12-01,6.666667,7.010000,6.460000,6.490000,0.598224,0
1988-01-01,6.490000,6.846667,6.490000,6.846667,0.681317,0
1988-02-01,6.863333,7.170000,6.863333,7.170000,0.713492,0
1988-03-01,7.176667,7.450000,7.176667,7.423333,0.738701,0
1988-04-01,7.403333,7.723333,7.403333,7.723333,0.768554,0
1988-05-01,7.723333,7.740000,7.610000,7.740000,0.770213,0
1988-06-01,7.783333,7.906667,7.726666,7.813334,0.777510,0
1988-07-01,7.833333,7.896667,7.833333,7.896667,0.802768,0
1988-08-01,7.896667,7.900000,7.763333,7.826667,0.795652,0
1988-09-01,7.803333,7.996666,7.803333,7.996666,0.812934,0
1988-10-01,7.980000,8.096666,7.970000,8.056666,0.819033,0
1988-11-01,8.086667,8.096666,7.926667,8.046667,0.818016,0
1988-12-01,8.046667,8.136666,7.570000,7.603333,0.772948,0
1989-01-01,7.603333,8.013333,7.603333,8.013333,0.875994,0
1989-02-01,8.020000,8.153334,8.020000,8.096666,0.885104,0
1989-03-01,8.100000,8.273334,8.100000,8.170000,0.893120,0
1989-04-01,8.243333,8.426666,8.240000,8.426666,0.921178,0
1989-05-01,8.420000,8.580000,8.403334,8.566667,0.936483,0
1989-06-01,8.546667,8.750000,8.463333,8.463333,0.925187,0
1989-07-01,8.483334,8.756667,8.483334,8.756667,0.979794,0
1989-08-01,8.746667,8.903334,8.746667,8.903334,0.996205,0
1989-09-01,8.916667,8.926666,8.813334,8.896667,0.995459,0
1989-10-01,8.920000,9.033334,8.586667,8.623333,0.964875,0
1989-11-01,8.633333,8.723333,8.583333,8.723333,0.976065,0
1989-12-01,8.763333,8.793333,7.983333,8.030000,0.898487,0
1990-01-01,8.083333,8.113334,7.723333,7.773334,0.947178,0
1990-02-01,7.780000,7.850000,7.730000,7.766667,0.946366,0
1990-03-01,7.790000,7.883333,7.790000,7.876667,0.959770,0
1990-04-01,7.846667,7.906667,7.763333,7.763333,0.945960,0
1990-05-01,7.776667,8.103333,7.776667,8.100000,0.986983,0
1990-06-01,8.143333,8.186666,7.963333,8.016666,0.976828,0
1990-07-01,8.016666,8.116667,7.973333,7.996666,0.984462,0
1990-08-01,7.990000,7.990000,7.440000,7.553333,0.929883,0
1990-09-01,7.536667,7.576667,7.223333,7.230000,0.890078,0
1990-10-01,7.296667,7.316667,6.973333,6.973333,0.858480,0
1990-11-01,6.970000,7.180000,6.970000,7.180000,0.883923,0
1990-12-01,7.193333,7.290000,6.893333,6.933333,0.853556,0
1991-01-01,6.916667,7.090000,6.746666,7.090000,0.918804,0
1991-02-01,7.110000,7.566667,7.110000,7.566667,0.980575,0
1991-03-01,7.596667,7.703333,7.596667,7.686666,0.996127,0
1991-04-01,7.676667,7.933333,7.676667,7.926667,1.027228,0
1991-05-01,7.943333,8.030000,7.880000,8.030000,1.040619,0
1991-06-01,8.030000,8.043333,7.800000,7.816667,1.012973,0
1991-07-01,7.840000,7.896667,7.683333,7.896667,1.023341,0
1991-08-01,7.900000,8.013333,7.756667,8.006667,1.051094,0
1991-09-01,8.003333,8.016666,7.943333,7.986667,1.048469,0
1991-10-01,7.976666,7.983333,7.823333,7.976666,1.047156,0
1991-11-01,7.973333,8.030000,7.733333,7.733333,1.015212,0
1991-12-01,7.750000,7.833333,7.623333,7.786667,1.022213,0
1992-01-01,7.790000,8.033334,7.790000,8.020000,1.088511,0
1992-02-01,8.030000,8.266666,8.030000,8.266666,1.121990,0
1992-03-01,8.276667,8.286667,8.203333,8.216666,1.115204,0
1992-04-01,8.196667,8.360000,8.076667,8.360000,1.134658,0
1992-05-01,8.363334,8.586667,8.363334,8.586667,1.165422,0
1992-06-01,8.596666,8.660000,8.496667,8.616667,1.169494,0
1992-07-01,8.660000,8.660000,8.476666,8.650000,1.174018,0
1992-08-01,8.660000,8.693334,8.553333,8.633333,1.189150,0
1992-09-01,8.636666,8.813334,8.636666,8.813334,1.213943,0
1992-10-01,8.806666,8.850000,8.653334,8.846666,1.218534,0
1992-11-01,8.856667,9.160000,8.816667,9.160000,1.261692,0
1992-12-01,9.190000,9.340000,8.916667,9.033334,1.244245,0
1993-01-01,9.026667,9.443334,8.980000,9.396667,1.351192,0
1993-02-01,9.426666,9.583333,9.353333,9.540000,1.371803,0
1993-03-01,9.553333,9.863334,9.553333,9.863334,1.418297,0
1993-04-01,9.833333,9.833333,9.600000,9.686666,1.392893,0
1993-05-01,9.693334,9.906667,9.693334,9.900000,1.423569,0
1993-06-01,9.926666,10.056666,9.866667,10.056666,1.446097,0
1993-07-01,10.083333,10.173333,9.983334,10.173333,1.462873,0
1993-08-01,10.183333,10.463333,10.183333,10.463333,1.517191,0
1993-09-01,10.480000,10.603333,10.380000,10.603333,1.537491,0
1993-10-01,10.636666,10.996667,10.636666,10.996667,1.594525,0
1993-11-01,10.976666,11.010000,10.703333,10.730000,1.555858,0
1993-12-01,10.776667,10.923333,10.316667,10.363334,1.502691,0
1994-01-01,10.343333,10.740000,10.343333,10.740000,1.655303,0
1994-02-01,10.733334,10.766666,10.586667,10.640000,1.639891,0
1994-03-01,10.586667,10.786667,10.450000,10.450000,1.610607,0
1994-04-01,10.350000,10.623333,10.350000,10.623333,1.637322,0
1994-05-01,10.673333,10.753333,10.560000,10.733334,1.654276,0
1994-06-01,10.766666,10.886666,10.600000,10.603333,1.634239,0
1994-07-01,10.700000,10.870000,10.633333,10.870000,1.675339,0
1994-08-01,10.923333,11.286667,10.923333,11.286667,1.750479,0
1994-09-01,11.276667,11.310000,11.126667,11.140000,1.727732,0
1994-10-01,11.116667,11.163333,10.966666,11.116667,1.724113,0
1994-11-01,11.070000,11.086667,10.760000,10.843333,1.681721,0
1994-12-01,10.786667,10.853333,10.303333,10.343333,1.604174,0
1995-01-01,10.360000,10.563334,10.360000,10.560000,1.722417,0
1995-02-01,10.616667,10.933333,10.616667,10.933333,1.783311,0
1995-03-01,10.920000,11.026667,10.823334,10.990000,1.792553,0
1995-04-01,11.006667,11.300000,11.006667,11.300000,1.843118,0
1995-05-01,11.296667,11.586667,11.296667,11.586667,1.889875,0
1995-06-01,11.613334,11.790000,11.596666,11.716666,1.911078,0
1995-07-01,11.730000,12.083333,11.690000,12.083333,1.970884,0
1995-08-01,12.053333,12.270000,12.053333,12.270000,2.027145,0
1995-09-01,12.303333,12.633333,12.303333,12.603333,2.082215,0
1995-10-01,12.576667,12.613334,12.266666,12.350000,2.040361,0
1995-11-01,12.350000,12.666667,12.350000,12.666667,2.092678,0
1995-12-01,12.666667,12.793333,11.850000,11.980000,1.979232,0
1996-01-01,12.016666,12.440000,11.886666,12.440000,2.205839,0
1996-02-01,12.430000,12.860000,12.403334,12.773334,2.264945,0
1996-03-01,12.793333,12.940000,12.643333,12.940000,2.294499,0
1996-04-01,13.016666,13.120000,12.786667,13.086667,2.320505,0
1996-05-01,13.116667,13.376667,12.916667,13.300000,2.358334,0
1996-06-01,13.286667,13.413333,12.776667,12.820000,2.273222,0
1996-07-01,12.890000,12.890000,12.083333,12.316667,2.251550,0
1996-08-01,12.450000,12.840000,12.450000,12.740000,2.328938,0
1996-09-01,12.740000,13.123333,12.740000,13.096666,2.394138,0
1996-10-01,13.133333,13.346666,13.133333,13.213333,2.415465,0
1996-11-01,13.240000,13.880000,13.240000,13.880000,2.537336,0
1996-12-01,13.890000,13.963333,12.856667,12.983334,2.373420,0
1997-01-01,12.913333,13.440000,12.913333,13.430000,2.663432,0
1997-02-01,13.430000,13.830000,13.420000,13.720000,2.720947,0
1997-03-01,13.760000,14.080000,13.530000,13.530000,2.683265,0
1997-04-01,13.450000,13.610000,13.290000,13.610000,2.699131,0
1997-05-01,13.630000,14.170000,13.630000,14.170000,2.810190,0
1997-06-01,14.190000,14.690000,14.190000,14.580000,2.891500,0
1997-07-01,14.690000,15.120000,14.600000,15.120000,2.998593,0
1997-08-01,15.090000,15.260000,14.930000,14.960000,3.019661,0
1997-09-01,15.190000,15.700000,15.140000,15.700000,3.169029,0
1997-10-01,15.840000,16.059999,15.110000,15.200000,3.068104,0
1997-11-01,15.420000,15.560000,15.160000,15.420000,3.112511,0
1997-12-01,15.570000,15.730000,13.790000,14.120000,2.850107,0
1998-01-01,14.120000,14.160000,13.680000,14.040000,3.149984,0
