Date,Open,High,Low,Close,Adj Close,Volume
1980-09-01,5.000000,5.000000,5.000000,5.000000,0.175184,0
1980-10-01,5.000000,5.110000,5.000000,5.110000,0.179038,0
1980-11-01,5.110000,5.290000,5.110000,5.290000,0.185345,0
1980-12-01,5.290000,5.460000,5.290000,5.460000,0.191301,0
1981-01-01,5.460000,5.490000,5.460000,5.490000,0.192352,0
1981-02-01,5.490000,5.510000,5.490000,5.510000,0.193053,0
1981-03-01,5.510000,5.570000,5.510000,5.570000,0.195155,0
1981-04-01,5.570000,5.640000,5.570000,5.640000,0.197608,0
1981-05-01,5.640000,5.680000,5.640000,5.680000,0.199009,0
1981-06-01,5.680000,5.680000,5.650000,5.650000,0.197958,0
1981-07-01,5.650000,5.650000,5.640000,5.640000,0.197608,0
1981-08-01,5.640000,5.640000,5.620000,5.620000,0.196907,0
1981-09-01,5.620000,5.620000,5.610000,5.610000,0.196556,0
1981-10-01,5.610000,5.840000,5.610000,5.840000,0.204615,0
1981-11-01,5.840000,5.860000,5.840000,5.860000,0.205316,0
1981-12-01,5.860000,5.900000,5.860000,5.900000,0.206717,0
1982-01-01,5.900000,5.910000,5.900000,5.910000,0.210297,0
1982-02-01,5.910000,5.910000,5.740000,5.740000,0.204248,0
1982-03-01,5.740000,5.740000,5.670000,5.670000,0.201757,0
1982-04-01,5.670000,5.900000,5.670000,5.900000,0.209942,0
1982-05-01,5.900000,5.900000,5.890000,5.890000,0.209586,0
1982-06-01,5.890000,5.890000,5.780000,5.780000,0.205671,0
1982-07-01,5.780000,5.780000,5.760000,5.760000,0.204960,0
1982-08-01,5.760000,6.040000,5.760000,6.040000,0.214923,0
1982-09-01,6.040000,6.120000,6.040000,6.120000,0.217770,0
1982-10-01,6.120000,6.460000,6.120000,6.460000,0.229868,0
1982-11-01,6.460000,6.620000,6.460000,6.620000,0.235562,0
1982-12-01,6.620000,6.750000,6.540000,6.540000,0.232715,0
1983-01-01,6.540000,6.860000,6.540000,6.860000,0.246899,0
1983-02-01,6.860000,7.080000,6.860000,7.080000,0.254817,0
1983-03-01,7.080000,7.350000,7.080000,7.350000,0.264534,0
1983-04-01,7.350000,7.660000,7.350000,7.660000,0.275692,0
1983-05-01,7.660000,7.890000,7.660000,7.890000,0.283969,0
1983-06-01,7.890000,7.940000,7.885000,7.940000,0.285769,0
1983-07-01,7.940000,7.960000,7.940000,7.960000,0.287400,0
1983-08-01,7.960000,8.090000,7.960000,8.090000,0.292093,0
1983-09-01,8.090000,8.460000,8.090000,8.460000,0.305452,0
1983-10-01,8.460000,8.510000,8.460000,8.510000,0.307257,0
1983-11-01,8.510000,8.620000,8.510000,8.620000,0.311229,0
1983-12-01,8.620000,8.620000,7.960000,7.960000,0.287400,0
1984-01-01,7.960000,8.240000,7.960000,8.240000,0.300032,0
1984-02-01,8.240000,8.340000,8.240000,8.340000,0.303674,0
