Date,Open,High,Low,Close,Adj Close,Volume
1983-02-01,10.000000,10.000000,10.000000,10.000000,1.529572,0
1983-03-01,10.000000,10.000000,9.870000,9.870000,1.513924,0
1983-04-01,9.870000,9.960000,9.870000,9.960000,1.540051,0
1983-05-01,9.960000,9.960000,9.830000,9.830000,1.532370,0
1983-06-01,9.830000,9.830000,9.700000,9.700000,1.524812,0
1983-07-01,9.700000,9.700000,9.460000,9.460000,1.499593,0
1983-08-01,9.460000,9.460000,9.410000,9.410000,1.504542,0
1983-09-01,9.410000,9.550000,9.410000,9.550000,1.540932,0
1983-10-01,9.550000,9.550000,9.520000,9.520000,1.550595,0
1983-11-01,9.520000,9.520000,9.510000,9.510000,1.564031,0
1983-12-01,9.510000,9.510000,9.480000,9.480000,1.573477,0
1984-01-01,9.480000,9.520000,9.480000,9.520000,1.595552,0
1984-02-01,9.520000,9.520000,9.440000,9.440000,1.597648,0
1984-03-01,9.440000,10.000000,9.330000,9.330000,1.593088,0
1984-04-01,9.330000,9.330000,9.270000,9.270000,1.597060,0
1984-05-01,9.270000,9.270000,9.080000,9.080000,1.578877,0
1984-06-01,9.080000,9.080000,9.060000,9.060000,1.591016,0
1984-07-01,9.060000,9.210000,9.060000,9.210000,1.633551,0
1984-08-01,9.210000,9.220000,9.210000,9.220000,1.652469,0
1984-09-01,9.220000,9.320000,9.220000,9.320000,1.687800,0
1984-10-01,9.320000,9.510000,9.320000,9.510000,1.740140,0
1984-11-01,9.510000,9.620000,9.510000,9.620000,1.778588,0
1984-12-01,9.620000,9.650000,9.620000,9.650000,1.801754,0
1985-01-01,9.640000,9.720000,9.620000,9.700000,1.828386,0
1985-02-01,9.660000,9.670000,9.540000,9.540000,1.814654,0
1985-03-01,9.510000,9.590000,9.480000,9.590000,1.840125,0
1985-04-01,9.580000,9.730000,9.570000,9.680000,1.875245,0
1985-05-01,9.710000,9.910000,9.700000,9.910000,1.937836,0
1985-06-01,9.940000,10.540000,9.850000,9.920000,1.957824,0
1985-07-01,9.910000,9.970000,9.800000,9.820000,1.955107,0
1985-08-01,9.820000,9.900000,9.780000,9.870000,1.982661,0
1985-09-01,9.870000,9.880000,9.770000,9.830000,1.991930,0
1985-10-01,9.830000,9.860000,9.800000,9.860000,2.014990,0
1985-11-01,9.860000,9.940000,9.860000,9.920000,2.045087,0
1985-12-01,9.920000,10.050000,9.920000,10.030000,2.085441,0
1986-01-01,10.030000,10.040000,9.900000,10.020000,2.101170,0
1986-02-01,10.030000,10.110000,10.010000,10.110000,2.137768,0
1986-03-01,10.110000,10.240000,10.110000,10.220000,2.177177,0
1986-04-01,10.210000,10.340000,10.140000,10.190000,2.188183,0
1986-05-01,10.190000,10.200000,10.010000,10.010000,2.165467,0
1986-06-01,9.960000,10.140000,9.920000,10.140000,2.210149,0
1986-07-01,10.150000,10.220000,10.130000,10.200000,2.239142,0
1986-08-01,10.200000,10.370000,10.200000,10.370000,2.293146,0
1986-09-01,10.330000,10.330000,10.180000,10.210000,2.273613,0
1986-10-01,10.220000,10.290000,10.210000,10.280000,2.304806,0
1986-11-01,10.280000,10.300000,10.240000,10.290000,2.322915,0
1986-12-01,10.290000,10.320000,10.240000,10.240000,2.326548,0
1987-01-01,10.260000,10.370000,10.250000,10.250000,2.344297,0
1987-02-01,10.230000,10.250000,10.140000,10.140000,2.334839,0
1987-03-01,10.140000,10.160000,10.040000,10.070000,2.332989,0
1987-04-01,10.040000,10.050000,9.790000,9.790000,2.283355,0
1987-05-01,9.800000,9.800000,9.660000,9.750000,2.288989,0
1987-06-01,9.770000,9.840000,9.710000,9.800000,2.316665,0
1987-07-01,9.820000,9.840000,9.770000,9.770000,2.324976,0
1987-08-01,9.740000,9.780000,9.680000,9.690000,2.321865,0
1987-09-01,9.680000,9.680000,9.520000,9.520000,2.297028,0
1987-10-01,9.520000,9.730000,9.370000,9.720000,2.361406,0
1987-11-01,9.700000,9.770000,9.690000,9.690000,2.370932,0
1987-12-01,9.710000,9.730000,9.650000,9.720000,2.395079,0
1988-01-01,9.730000,9.880000,9.700000,9.880000,2.452655,0
1988-02-01,9.870000,9.920000,9.870000,9.900000,2.475444,0
1988-03-01,9.900000,9.920000,9.790000,9.790000,2.464384,0
1988-04-01,9.750000,9.780000,9.710000,9.710000,2.461849,0
1988-05-01,9.690000,9.700000,9.580000,9.590000,2.448048,0
1988-06-01,9.620000,9.710000,9.610000,9.660000,2.483545,0
1988-07-01,9.660000,9.660000,9.550000,9.570000,2.477352,0
1988-08-01,9.570000,9.590000,9.470000,9.490000,2.474258,0
1988-09-01,9.500000,9.590000,9.500000,9.580000,2.515751,0
1988-10-01,9.580000,9.630000,9.580000,9.630000,2.546747,0
1988-11-01,9.630000,9.630000,9.440000,9.480000,2.525191,0
1988-12-01,9.480000,9.480000,9.390000,9.410000,2.523906,0
