Date,Open,High,Low,Close,Adj Close,Volume
1980-01-01,11.710000,12.140000,11.710000,12.140000,1.831586,0
1980-02-01,12.140000,12.220000,12.140000,12.220000,1.843656,0
1980-03-01,12.220000,12.220000,11.500000,11.500000,1.735029,0
1980-04-01,11.500000,11.650000,11.500000,11.650000,1.761263,0
1980-05-01,11.650000,11.980000,11.650000,11.980000,1.811152,0
1980-06-01,11.980000,12.370000,11.980000,12.370000,1.870113,0
1980-07-01,12.370000,12.790000,12.370000,12.790000,1.933610,0
1980-08-01,12.790000,13.280000,12.790000,13.280000,2.007687,0
1980-09-01,13.280000,13.640000,13.280000,13.640000,2.062114,0
1980-10-01,13.640000,14.040000,13.640000,14.040000,2.122586,0
1980-11-01,14.040000,14.460000,14.040000,14.460000,2.186082,0
1980-12-01,14.460000,14.460000,12.260000,12.300000,1.859530,0
1981-01-01,12.300000,12.300000,12.300000,12.300000,1.927935,0
1981-02-01,12.300000,12.320000,12.300000,12.320000,1.931071,0
1981-03-01,12.320000,12.800000,12.320000,12.620000,1.978094,0
1981-04-01,12.620000,12.850000,12.620000,12.850000,2.024001,0
1981-05-01,12.850000,13.090000,12.850000,13.090000,2.061804,0
1981-06-01,13.090000,13.220000,13.090000,13.220000,2.082280,0
1981-07-01,13.220000,13.270000,13.220000,13.270000,2.090156,0
1981-08-01,13.270000,13.270000,13.140000,13.140000,2.069679,0
1981-09-01,13.140000,13.140000,12.270000,12.270000,1.932646,0
1981-10-01,12.270000,12.780000,12.270000,12.780000,2.012976,0
1981-11-01,12.780000,13.170000,12.780000,13.170000,2.074404,0
1981-12-01,13.170000,13.170000,11.750000,12.140000,1.912169,0
1982-01-01,12.140000,12.140000,11.750000,11.750000,1.939403,0
1982-02-01,11.750000,11.750000,11.470000,11.470000,1.893188,0
1982-03-01,11.470000,11.470000,11.130000,11.130000,1.837069,0
1982-04-01,11.130000,11.460000,11.130000,11.460000,1.891538,0
1982-05-01,11.460000,11.460000,11.260000,11.260000,1.858526,0
1982-06-01,11.260000,11.260000,10.960000,10.960000,1.809010,0
1982-07-01,10.960000,10.960000,10.750000,10.750000,1.774348,0
1982-08-01,10.750000,11.010000,10.750000,11.010000,1.817263,0
1982-09-01,11.010000,11.440000,11.010000,11.440000,1.888237,0
1982-10-01,11.440000,12.390000,11.440000,12.390000,2.045039,0
1982-11-01,12.390000,13.150000,12.390000,13.150000,2.170482,0
1982-12-01,13.150000,13.150000,12.230000,12.240000,2.020281,0
1983-01-01,12.240000,13.110000,12.240000,13.110000,2.205815,0
1983-02-01,13.110000,13.870000,13.110000,13.870000,2.333688,0
1983-03-01,13.870000,14.340000,13.870000,14.340000,2.412768,0
1983-04-01,14.340000,15.380000,14.340000,15.380000,2.587752,0
1983-05-01,15.380000,16.990000,15.380000,16.990000,2.858642,0
1983-06-01,16.990000,17.510000,16.990000,17.510000,2.946134,0
1983-07-01,17.510000,17.680000,17.510000,17.680000,2.974738,0
1983-08-01,17.680000,17.680000,17.020000,17.020000,2.863690,0
1983-09-01,17.020000,17.370001,17.020000,17.370001,2.922578,0
1983-10-01,17.370001,17.370001,16.809999,16.809999,2.828356,0
1983-11-01,16.809999,17.090000,16.809999,17.090000,2.875467,0
1983-12-01,17.090000,17.090000,16.740000,16.809999,2.828356,0
1984-01-01,16.809999,16.809999,15.410000,15.410000,2.618851,0
1984-02-01,15.410000,15.410000,14.490000,14.490000,2.462502,0
1984-03-01,14.490000,14.520000,14.490000,14.520000,2.467600,0
1984-04-01,14.520000,14.520000,14.380000,14.380000,2.443808,0
1984-05-01,14.380000,14.380000,14.020000,14.020000,2.382627,0
1984-06-01,14.020000,14.300000,14.020000,14.300000,2.430212,0
1984-07-01,14.300000,14.300000,13.950000,13.950000,2.370731,0
1984-08-01,13.950000,14.990000,13.950000,14.990000,2.547474,0
1984-09-01,14.990000,14.990000,14.810000,14.810000,2.516884,0
1984-10-01,14.810000,14.810000,14.790000,14.790000,2.530365,0
1984-11-01,14.790000,14.790000,14.700000,14.700000,2.514967,0
1984-12-01,14.700000,14.930000,14.700000,14.930000,2.554317,0
1985-01-01,14.940000,15.520000,14.940000,15.520000,2.655258,0
1985-02-01,15.520000,16.340000,15.520000,16.260000,2.801720,0
1985-03-01,16.320000,16.350000,16.139999,16.180000,2.787935,0
1985-04-01,16.190001,16.330000,16.090000,16.219999,2.794827,0
1985-05-01,16.219999,16.680000,16.129999,16.420000,2.829289,0
1985-06-01,16.440001,16.690001,16.379999,16.690001,2.882788,0
1985-07-01,16.730000,17.260000,16.730000,17.090000,2.951877,0
1985-08-01,17.170000,17.250000,16.980000,17.230000,2.976059,0
1985-09-01,17.200001,17.200001,16.490000,16.549999,2.858606,0
1985-10-01,16.590000,17.080000,16.549999,17.080000,2.950150,0
1985-11-01,17.129999,18.100000,17.129999,18.100000,3.126331,0
1985-12-01,18.090000,18.680000,18.090000,18.680000,3.226511,0
1986-01-01,18.690001,19.520000,18.690001,19.520000,3.371601,0
1986-02-01,19.520000,19.690001,18.629999,19.570000,3.380236,0
1986-03-01,19.570000,20.270000,19.559999,20.270000,3.511934,0
1986-04-01,20.270000,20.889999,20.129999,20.690001,3.584702,0
1986-05-01,20.690001,21.129999,20.610001,21.129999,3.660935,0
1986-06-01,21.129999,21.240000,20.950001,21.240000,3.679993,0
1986-07-01,21.290001,21.510000,19.660000,19.660000,3.406246,0
1986-08-01,19.660000,19.830000,19.290001,19.830000,3.435702,0
1986-09-01,19.790001,19.790001,18.410000,18.620001,3.226059,0
1986-10-01,18.620001,18.959999,18.620001,18.959999,3.284966,0
1986-11-01,18.959999,19.110001,18.750000,18.879999,3.271106,0
1986-12-01,17.400000,17.549999,17.030001,17.040001,2.952312,0
1987-01-01,17.040001,18.740000,17.040001,18.740000,3.246850,0
1987-02-01,18.740000,19.820000,18.740000,19.820000,3.433967,0
1987-03-01,19.889999,19.889999,19.420000,19.500000,3.378526,0
