Date,Open,High,Low,Close,Adj Close,Volume
1985-11-01,10.050000,10.050000,10.020000,10.050000,1.442194,0
1985-12-01,10.140000,10.170000,10.030000,10.090000,1.449960,0
1986-01-01,10.070000,10.070000,9.790000,10.000000,1.449248,0
1986-02-01,10.020000,10.140000,9.980000,10.120000,1.479212,0
1986-03-01,10.100000,10.150000,10.010000,10.150000,1.495394,0
1986-04-01,10.130000,10.230000,10.100000,10.170000,1.509656,0
1986-05-01,10.120000,10.120000,9.920000,9.920000,1.484222,0
1986-06-01,9.820000,9.960000,9.770000,9.960000,1.502133,0
1986-07-01,9.950000,10.070000,9.950000,10.030000,1.523714,0
1986-08-01,10.030000,10.160000,10.030000,10.160000,1.555115,0
1986-09-01,10.160000,10.160000,10.040000,10.110000,1.559304,0
1986-10-01,10.130000,10.170000,10.130000,10.170000,1.579505,0
1986-11-01,10.180000,10.260000,10.150000,10.260000,1.604527,0
1986-12-01,10.270000,10.300000,10.230000,10.230000,1.610835,0
1987-01-01,10.240000,10.310000,10.230000,10.250000,1.625906,0
1987-02-01,10.240000,10.290000,10.240000,10.270000,1.640923,0
1987-03-01,10.270000,10.280000,10.150000,10.150000,1.633201,0
1987-04-01,10.120000,10.130000,9.650000,9.720000,1.574707,0
1987-05-01,9.690000,9.690000,9.460000,9.630000,1.571489,0
1987-06-01,9.640000,9.760000,9.550000,9.710000,1.596207,0
1987-07-01,9.710000,9.740000,9.660000,9.660000,1.600028,0
1987-08-01,9.630000,9.680000,9.560000,9.560000,1.596689,0
1987-09-01,9.560000,9.560000,9.310000,9.310000,1.566899,0
1987-10-01,9.320000,9.400000,9.170000,9.360000,1.588423,0
1987-11-01,9.360000,9.460000,9.360000,9.410000,1.611212,0
1987-12-01,9.410000,9.430000,9.370000,9.380000,1.619717,0
1988-01-01,9.390000,9.540000,9.390000,9.540000,1.662948,0
1988-02-01,9.530000,9.570000,9.510000,9.550000,1.677554,0
1988-03-01,9.540000,9.550000,9.450000,9.450000,1.674024,0
