Date,Open,High,Low,Close,Adj Close,Volume
1980-05-01,4.990000,4.990000,4.990000,4.990000,0.735673,0
1980-06-01,4.990000,5.230000,4.990000,5.230000,0.771056,0
1980-07-01,5.230000,5.310000,5.230000,5.310000,0.782851,0
1980-08-01,5.310000,5.420000,5.310000,5.420000,0.799068,0
1980-09-01,5.420000,5.600000,5.420000,5.600000,0.825605,0
1980-10-01,5.600000,5.820000,5.600000,5.820000,0.858040,0
1980-11-01,5.820000,5.820000,5.740000,5.740000,0.846246,0
1980-12-01,5.740000,5.850000,5.740000,5.850000,0.862463,0
1981-01-01,5.850000,5.870000,5.850000,5.870000,0.865411,0
1981-02-01,5.870000,5.930000,5.870000,5.930000,0.874257,0
1981-03-01,5.930000,6.090000,5.930000,6.090000,0.897846,0
1981-04-01,6.090000,6.090000,5.710000,5.940000,0.875731,0
1981-05-01,5.940000,5.940000,5.840000,5.840000,0.876460,0
1981-06-01,5.840000,5.950000,5.840000,5.950000,0.892968,0
1981-07-01,5.950000,5.950000,5.620000,5.620000,0.843442,0
1981-08-01,5.620000,5.620000,5.560000,5.560000,0.834438,0
1981-09-01,5.560000,5.560000,5.060000,5.060000,0.759398,0
1981-10-01,5.060000,5.160000,5.060000,5.160000,0.774406,0
1981-11-01,5.160000,5.560000,5.160000,5.560000,0.834438,0
1981-12-01,5.560000,5.560000,5.500000,5.500000,0.825433,0
1982-01-01,5.500000,5.500000,5.480000,5.480000,0.822431,0
1982-02-01,5.480000,5.480000,5.110000,5.110000,0.766902,0
1982-03-01,5.110000,5.110000,4.870000,4.870000,0.730883,0
1982-04-01,4.870000,5.010000,4.820000,5.010000,0.751894,0
1982-05-01,5.010000,5.010000,4.940000,4.940000,0.752593,0
1982-06-01,4.940000,4.940000,4.670000,4.670000,0.711459,0
1982-07-01,4.670000,4.690000,4.670000,4.690000,0.714506,0
1982-08-01,4.690000,4.690000,4.690000,4.690000,0.714506,0
1982-09-01,4.690000,4.690000,4.690000,4.690000,0.714506,0
1982-10-01,4.690000,4.790000,4.690000,4.790000,0.729741,0
1982-11-01,4.790000,5.300000,4.790000,5.300000,0.807438,0
1982-12-01,5.300000,5.670000,5.300000,5.670000,0.863806,0
1983-01-01,5.670000,5.670000,5.410000,5.410000,0.824196,0
1983-02-01,5.410000,5.560000,5.410000,5.560000,0.854964,0
1983-03-01,5.560000,5.830000,5.560000,5.830000,0.896482,0
1983-04-01,5.830000,6.090000,5.830000,6.090000,0.936462,0
1983-05-01,6.090000,6.090000,6.090000,6.090000,0.936462,0
1983-06-01,6.090000,6.310000,6.090000,6.310000,0.970292,0
1983-07-01,6.310000,6.390000,6.310000,6.390000,0.982594,0
1983-08-01,6.390000,6.390000,6.310000,6.310000,0.970292,0
1983-09-01,6.310000,6.610000,6.310000,6.610000,1.016423,0
1983-10-01,6.610000,6.610000,6.610000,6.610000,1.016423,0
1983-11-01,6.610000,6.840000,6.610000,6.840000,1.051790,0
1983-12-01,6.840000,7.160000,6.840000,7.160000,1.100997,0
1984-01-01,7.160000,7.160000,7.070000,7.100000,1.091771,0
1984-02-01,7.100000,7.100000,7.060000,7.060000,1.091336,0
1984-03-01,7.060000,7.490000,7.060000,7.490000,1.157805,0
1984-04-01,7.490000,7.490000,7.360000,7.360000,1.137710,0
1984-05-01,7.360000,7.360000,6.560000,6.560000,1.014046,0
1984-06-01,6.560000,6.560000,6.500000,6.500000,1.004770,0
1984-07-01,6.500000,6.500000,6.040000,6.040000,0.933664,0
1984-08-01,6.040000,6.600000,6.040000,6.600000,1.020229,0
1984-09-01,6.600000,6.600000,6.540000,6.540000,1.010954,0
1984-10-01,6.540000,6.630000,6.540000,6.630000,1.024866,0
1984-11-01,6.630000,6.630000,6.560000,6.560000,1.014046,0
