Date,Open,High,Low,Close,Adj Close,Volume
1988-06-01,10.000000,10.000000,10.000000,10.000000,1.920258,0
1988-07-01,9.950000,10.020000,9.810000,9.880000,1.897214,0
1988-08-01,9.880000,9.910000,8.940000,8.940000,1.716709,0
1988-09-01,8.860000,9.020000,8.860000,9.020000,1.732073,0
1988-10-01,8.980000,9.170000,8.980000,9.080000,1.743594,0
1988-11-01,9.050000,9.050000,8.640000,8.830000,1.695587,0
1988-12-01,8.830000,8.980000,8.760000,8.980000,1.724391,0
1989-01-01,8.950000,9.440000,8.950000,9.440000,1.829240,0
1989-02-01,9.440000,9.650000,9.440000,9.530000,1.846680,0
1989-03-01,9.540000,9.810000,9.490000,9.690000,1.877684,0
1989-04-01,9.680000,9.980000,9.660000,9.980000,1.933879,0
1989-05-01,10.040000,10.270000,10.040000,10.270000,1.990073,0
1989-06-01,10.320000,10.340000,10.060000,10.060000,1.949380,0
1989-07-01,10.050000,10.530000,10.050000,10.530000,2.040455,0
1989-08-01,10.540000,10.840000,10.540000,10.840000,2.100526,0
1989-09-01,10.880000,10.890000,10.750000,10.880000,2.108276,0
1989-10-01,10.900000,11.110000,10.400000,10.420000,2.019140,0
1989-11-01,10.430000,10.510000,10.370000,10.490000,2.032704,0
1989-12-01,10.510000,10.590000,9.230000,9.530000,1.846680,0
1990-01-01,9.550000,9.580000,8.870000,8.880000,1.744530,0
1990-02-01,8.880000,9.070000,8.880000,9.060000,1.779892,0
1990-03-01,9.020000,9.270000,9.020000,9.230000,1.813290,0
1990-04-01,9.190000,9.260000,9.100000,9.120000,1.791680,0
1990-05-01,9.130000,9.660000,9.130000,9.640000,1.893836,0
1990-06-01,9.710000,9.960000,9.710000,9.960000,1.956703,0
1990-07-01,9.940000,10.040000,9.710000,9.720000,1.909554,0
1990-08-01,9.670000,9.670000,8.550000,8.670000,1.703274,0
1990-09-01,8.660000,8.700000,8.050000,8.050000,1.581472,0
1990-10-01,8.080000,8.210000,7.670000,7.690000,1.510747,0
1990-11-01,7.690000,8.070000,7.690000,8.070000,1.585401,0
1990-12-01,8.070000,8.370000,7.960000,8.090000,1.589330,0
1991-01-01,8.040000,8.500000,7.810000,8.500000,1.719172,0
1991-02-01,8.550000,9.180000,8.550000,9.180000,1.856706,0
1991-03-01,9.210000,9.520000,9.210000,9.520000,1.925473,0
1991-04-01,9.510000,9.900000,9.510000,9.720000,1.965925,0
1991-05-01,9.690000,9.980000,9.690000,9.980000,2.018511,0
1991-06-01,10.020000,10.080000,9.850000,9.930000,2.008398,0
1991-07-01,9.950000,10.100000,9.890000,10.100000,2.042781,0
1991-08-01,10.100000,10.190000,9.770000,10.140000,2.050871,0
1991-09-01,10.090000,10.160000,10.000000,10.120000,2.046826,0
1991-10-01,10.090000,10.380000,10.020000,10.380000,2.099413,0
1991-11-01,10.430000,10.570000,10.200000,10.250000,2.073119,0
1991-12-01,10.160000,10.370000,9.840000,10.370000,2.097390,0
1992-01-01,10.310000,11.010000,10.310000,10.990000,2.249171,0
1992-02-01,11.060000,11.520000,11.060000,11.520000,2.357640,0
1992-03-01,11.570000,11.570000,11.430000,11.520000,2.357640,0
1992-04-01,11.470000,11.470000,11.210000,11.360000,2.324895,0
1992-05-01,11.400000,11.530000,11.370000,11.440000,2.341267,0
1992-06-01,11.410000,11.450000,10.920000,10.980000,2.247125,0
1992-07-01,11.010000,11.230000,10.890000,11.230000,2.298289,0
1992-08-01,11.270000,11.400000,11.110000,11.180000,2.288057,0
1992-09-01,11.200000,11.360000,11.180000,11.290000,2.310568,0
1992-10-01,11.230000,11.420000,11.040000,11.380000,2.328988,0
1992-11-01,11.430000,12.040000,11.430000,12.040000,2.464061,0
1992-12-01,12.090000,12.320000,12.090000,12.280000,2.513178,0
1993-01-01,12.230000,12.810000,12.230000,12.810000,2.643099,0
1993-02-01,12.880000,13.080000,12.750000,12.970000,2.676113,0
1993-03-01,12.950000,13.350000,12.950000,13.350000,2.754518,0
1993-04-01,13.310000,13.310000,12.920000,12.990000,2.680239,0
1993-05-01,13.040000,13.530000,13.040000,13.530000,2.791658,0
1993-06-01,13.560000,13.720000,13.450000,13.720000,2.830861,0
1993-07-01,13.730000,13.900000,13.710000,13.820000,2.851494,0
1993-08-01,13.840000,14.180000,13.800000,14.180000,2.925774,0
1993-09-01,14.210000,14.350000,14.010000,14.350000,2.960849,0
1993-10-01,14.370000,14.640000,14.370000,14.630000,3.018622,0
1993-11-01,14.630000,14.700000,14.340000,14.500000,2.991800,0
1993-12-01,14.600000,14.810000,14.320000,14.680000,3.028939,0
1994-01-01,14.600000,14.920000,14.600000,14.920000,3.175197,0
1994-02-01,14.940000,15.030000,14.810000,15.030000,3.198606,0
1994-03-01,14.970000,15.310000,14.580000,14.580000,3.102840,0
1994-04-01,14.290000,14.700000,14.290000,14.540000,3.094327,0
1994-05-01,14.600000,14.760000,14.460000,14.700000,3.128378,0
1994-06-01,14.650000,14.750000,14.210000,14.380000,3.060277,0
1994-07-01,14.400000,14.500000,14.320000,14.500000,3.085815,0
1994-08-01,14.430000,14.730000,14.400000,14.730000,3.134762,0
