Date,Open,High,Low,Close,Adj Close,Volume
1980-01-01,9.200000,9.200000,9.110000,9.110000,0.975903,0
1980-02-01,9.110000,9.110000,8.790000,8.790000,0.946768,0
1980-03-01,8.790000,8.790000,8.480000,8.480000,0.918521,0
1980-04-01,8.480000,8.750000,8.480000,8.750000,0.953188,0
1980-05-01,8.750000,8.990000,8.750000,8.990000,0.985374,0
1980-06-01,8.990000,8.990000,8.980000,8.980000,0.990392,0
1980-07-01,8.980000,8.980000,8.840000,8.840000,0.981502,0
1980-08-01,8.840000,8.840000,8.670000,8.670000,0.968775,0
1980-09-01,8.670000,8.670000,8.460000,8.460000,0.951228,0
1980-10-01,8.460000,8.460000,8.400000,8.400000,0.951396,0
1980-11-01,8.400000,8.400000,8.260000,8.260000,0.942108,0
1980-12-01,8.260000,8.260000,8.060000,8.060000,0.925579,0
1981-01-01,8.060000,8.060000,8.010000,8.010000,0.927246,0
1981-02-01,8.010000,8.010000,8.000000,8.000000,0.933034,0
1981-03-01,8.000000,8.020000,8.000000,8.020000,0.942306,0
1981-04-01,8.020000,8.020000,7.790000,7.790000,0.922433,0
1981-05-01,7.790000,7.790000,7.780000,7.780000,0.928075,0
1981-06-01,7.780000,7.800000,7.780000,7.800000,0.937198,0
1981-07-01,7.800000,7.800000,7.610000,7.610000,0.922073,0
1981-08-01,7.610000,7.610000,7.280000,7.280000,0.888926,0
1981-09-01,7.280000,7.280000,7.210000,7.210000,0.887375,0
1981-10-01,7.210000,7.620000,7.210000,7.620000,0.945630,0
1981-11-01,7.620000,7.620000,7.400000,7.400000,0.925776,0
1981-12-01,7.400000,7.400000,7.260000,7.260000,0.915953,0
1982-01-01,7.260000,7.260000,7.200000,7.200000,0.916559,0
1982-02-01,7.200000,7.240000,7.200000,7.240000,0.929590,0
1982-03-01,7.240000,7.250000,7.240000,7.250000,0.939222,0
1982-04-01,7.250000,7.490000,7.250000,7.490000,0.979650,0
1982-05-01,7.490000,7.550000,7.490000,7.550000,0.996293,0
1982-06-01,7.550000,7.550000,7.340000,7.340000,0.976534,0
1982-07-01,7.340000,7.460000,7.340000,7.460000,1.002591,0
1982-08-01,7.460000,7.850000,7.460000,7.850000,1.063994,0
1982-09-01,7.850000,8.130000,7.850000,8.130000,1.112683,0
1982-10-01,8.130000,8.380000,8.130000,8.380000,1.157217,0
1982-11-01,8.380000,8.380000,8.340000,8.340000,1.161553,0
1982-12-01,8.340000,8.580000,8.340000,8.580000,1.204464,0
1983-01-01,8.580000,8.630000,8.580000,8.630000,1.221147,0
1983-02-01,8.630000,8.850000,8.630000,8.850000,1.262133,0
1983-03-01,8.850000,8.960000,8.850000,8.960000,1.287818,0
1983-04-01,8.960000,9.200000,8.960000,9.200000,1.332401,0
1983-05-01,9.200000,9.200000,8.960000,8.960000,1.306391,0
1983-06-01,8.960000,8.960000,8.800000,8.800000,1.291487,0
1983-07-01,8.800000,8.800000,8.720000,8.720000,1.287939,0
1983-08-01,8.720000,8.720000,8.560000,8.560000,1.272404,0
1983-09-01,8.560000,8.660000,8.560000,8.660000,1.295887,0
1983-10-01,8.660000,8.660000,8.450000,8.450000,1.273538,0
1983-11-01,8.450000,8.450000,8.400000,8.400000,1.274391,0
1983-12-01,8.400000,8.450000,8.400000,8.450000,1.291144,0
1984-01-01,8.450000,8.580000,8.450000,8.580000,1.321073,0
1984-02-01,8.580000,8.580000,8.480000,8.480000,1.314545,0
1984-03-01,8.480000,8.480000,8.440000,8.440000,1.317711,0
1984-04-01,8.440000,8.440000,8.400000,8.400000,1.320497,0
1984-05-01,8.400000,8.400000,8.170000,8.170000,1.292150,0
1984-06-01,8.170000,8.200000,8.170000,8.200000,1.305128,0
1984-07-01,8.200000,8.300000,8.200000,8.300000,1.329015,0
1984-08-01,8.300000,8.320000,8.300000,8.320000,1.340226,0
1984-09-01,8.320000,8.320000,8.270000,8.270000,1.341546,0
1984-10-01,8.270000,8.320000,8.270000,8.320000,1.357818,0
1984-11-01,8.320000,8.330000,8.320000,8.330000,1.368385,0
1984-12-01,8.330000,8.370000,8.330000,8.370000,1.385113,0
1985-01-01,8.370000,8.600000,8.370000,8.550000,1.424645,0
1985-02-01,8.490000,8.490000,8.410000,8.410000,1.410525,0
1985-03-01,8.400000,8.410000,8.390000,8.400000,1.418452,0
1985-04-01,8.410000,8.570000,8.410000,8.530000,1.450418,0
1985-05-01,8.530000,8.750000,8.530000,8.750000,1.498188,0
1985-06-01,8.760000,8.810000,8.730000,8.750000,1.509453,0
1985-07-01,8.750000,8.810000,8.730000,8.730000,1.515901,0
1985-08-01,8.720000,8.720000,8.640000,8.660000,1.513965,0
1985-09-01,8.660000,8.670000,8.550000,8.550000,1.505513,0
1985-10-01,8.540000,8.700000,8.540000,8.700000,1.541288,0
1985-11-01,8.730000,8.890000,8.730000,8.880000,1.583199,0
1985-12-01,8.880000,9.030000,8.620000,9.030000,1.620711,0
1986-01-01,9.040000,9.390000,9.040000,9.390000,1.697001,0
1986-02-01,9.380000,9.730000,9.370000,9.730000,1.770892,0
1986-03-01,9.740000,9.800000,9.590000,9.780000,1.791504,0
1986-04-01,9.830000,9.830000,9.650000,9.670000,1.781587,0
1986-05-01,9.650000,9.650000,9.420000,9.440000,1.750058,0
1986-06-01,9.420000,9.490000,9.230000,9.490000,1.770382,0
1986-07-01,9.510000,9.550000,9.390000,9.440000,1.771142,0
1986-08-01,9.460000,9.970000,9.460000,9.970000,1.881981,0
1986-09-01,10.020000,10.020000,9.780000,9.800000,1.861492,0
1986-10-01,9.810000,9.950000,9.810000,9.950000,1.901041,0
1986-11-01,9.940000,10.100000,9.940000,10.100000,1.941233,0
1986-12-01,10.100000,10.130000,10.020000,10.070000,1.945097,0
1987-01-01,10.060000,10.280000,10.060000,10.280000,1.997164,0
1987-02-01,10.270000,10.270000,10.240000,10.270000,2.005765,0
1987-03-01,10.280000,10.310000,9.600000,9.600000,1.884641,0
1987-04-01,9.580000,9.580000,8.770000,8.830000,1.742703,0
1987-05-01,8.840000,8.850000,8.550000,8.680000,1.723444,0
1987-06-01,8.710000,8.830000,8.700000,8.810000,1.759620,0
1987-07-01,8.810000,8.880000,8.790000,8.880000,1.782728,0
1987-08-01,8.860000,8.860000,8.820000,8.830000,1.782323,0
1987-09-01,8.820000,8.820000,8.440000,8.440000,1.712309,0
1987-10-01,8.410000,8.410000,8.210000,8.360000,1.705935,0
1987-11-01,8.360000,8.550000,8.360000,8.500000,1.744111,0
1987-12-01,8.500000,8.550000,8.400000,8.550000,1.764080,0
1988-01-01,8.550000,8.750000,8.540000,8.750000,1.817548,0
1988-02-01,8.790000,8.810000,8.750000,8.810000,1.840105,0
1988-03-01,8.810000,8.810000,8.570000,8.610000,1.809012,0
1988-04-01,8.600000,8.650000,8.580000,8.650000,1.829369,0
1988-05-01,8.650000,8.650000,8.600000,8.610000,1.830220,0
1988-06-01,8.590000,8.650000,8.590000,8.630000,1.844118,0
1988-07-01,8.630000,8.660000,8.630000,8.650000,1.858276,0
1988-08-01,8.640000,8.690000,8.630000,8.640000,1.866473,0
1988-09-01,8.640000,8.690000,8.630000,8.660000,1.881475,0
1988-10-01,8.660000,8.700000,8.650000,8.700000,1.901351,0
1988-11-01,8.710000,8.710000,8.560000,8.560000,1.880710,0
1988-12-01,8.560000,8.620000,8.500000,8.620000,1.905243,0
1989-01-01,8.600000,8.710000,8.600000,8.710000,1.937287,0
1989-02-01,8.710000,8.710000,8.570000,8.570000,1.916490,0
1989-03-01,8.550000,8.550000,8.490000,8.520000,1.916715,0
1989-04-01,8.530000,8.650000,8.530000,8.650000,1.958603,0
1989-05-01,8.630000,8.790000,8.620000,8.740000,1.990037,0
1989-06-01,8.740000,8.820000,8.740000,8.820000,2.020042,0
1989-07-01,8.830000,8.870000,8.810000,8.870000,2.043787,0
1989-08-01,8.900000,8.900000,8.660000,8.670000,2.008358,0
1989-09-01,8.690000,8.700000,8.540000,8.580000,1.998819,0
1989-10-01,8.590000,8.760000,8.590000,8.630000,2.022264,0
1989-11-01,8.630000,8.780000,8.630000,8.780000,2.068695,0
1989-12-01,8.790000,8.810000,8.750000,8.790000,2.082464,0
1990-01-01,8.790000,8.790000,8.600000,8.600000,2.049118,0
1990-02-01,8.610000,8.680000,8.590000,8.660000,2.074752,0
1990-03-01,8.640000,8.650000,8.600000,8.610000,2.074042,0
1990-04-01,8.610000,8.620000,8.450000,8.450000,2.047151,0
1990-05-01,8.450000,8.640000,8.450000,8.640000,2.104640,0
1990-06-01,8.670000,8.680000,8.630000,8.670000,2.123512,0
1990-07-01,8.670000,8.780000,8.670000,8.780000,2.162457,0
1990-08-01,8.800000,8.800000,8.430000,8.540000,2.114663,0
1990-09-01,8.540000,8.590000,8.460000,8.480000,2.112936,0
1990-10-01,8.490000,8.600000,8.460000,8.600000,2.153756,0
1990-11-01,8.600000,8.730000,8.600000,8.730000,2.198614,0
1990-12-01,8.740000,8.770000,8.700000,8.710000,2.206226,0
1991-01-01,8.720000,8.780000,8.680000,8.780000,2.236024,0
1991-02-01,8.800000,8.890000,8.790000,8.790000,2.250374,0
1991-03-01,8.770000,8.770000,8.730000,8.750000,2.252175,0
1991-04-01,8.750000,8.830000,8.750000,8.820000,2.282731,0
1991-05-01,8.830000,8.870000,8.830000,8.870000,2.307983,0
1991-06-01,8.860000,8.860000,8.730000,8.780000,2.297516,0
1991-07-01,8.780000,8.850000,8.780000,8.850000,2.327509,0
1991-08-01,8.850000,8.910000,8.850000,8.910000,2.355815,0
1991-09-01,8.900000,8.980000,8.890000,8.980000,2.387994,0
1991-10-01,8.980000,9.030000,8.980000,9.010000,2.407779,0
1991-11-01,9.020000,9.040000,8.980000,8.990000,2.415032,0
1991-12-01,8.990000,9.170000,8.970000,9.170000,2.476624,0
1992-01-01,9.180000,9.250000,9.110000,9.110000,2.473140,0
1992-02-01,9.090000,9.100000,9.040000,9.090000,2.481052,0
1992-03-01,9.070000,9.070000,9.000000,9.030000,2.477242,0
1992-04-01,9.050000,9.120000,9.040000,9.060000,2.498211,0
1992-05-01,9.060000,9.160000,9.060000,9.140000,2.533413,0
1992-06-01,9.130000,9.260000,9.120000,9.260000,2.579955,0
1992-07-01,9.270000,9.590000,9.270000,9.540000,2.671527,0
1992-08-01,9.510000,9.510000,9.310000,9.360000,2.634901,0
1992-09-01,9.360000,9.430000,9.310000,9.360000,2.647077,0
