Date,Open,High,Low,Close,Adj Close,Volume
1989-09-01,5.000000,5.000000,5.000000,5.000000,1.225505,0
1989-10-01,5.010000,5.100000,5.010000,5.070000,1.243161,0
1989-11-01,5.070000,5.100000,5.050000,5.080000,1.253525,0
1989-12-01,5.090000,5.090000,5.060000,5.060000,1.256753,0
1990-01-01,5.060000,5.060000,4.990000,5.000000,1.250749,0
1990-02-01,5.000000,5.010000,4.970000,4.980000,1.254292,0
1990-03-01,4.970000,4.970000,4.940000,4.940000,1.252248,0
1990-04-01,4.940000,4.960000,4.890000,4.900000,1.251463,0
1990-05-01,4.890000,4.960000,4.890000,4.960000,1.275639,0
1990-06-01,4.980000,4.990000,4.960000,4.990000,1.292737,0
1990-07-01,4.990000,5.020000,4.970000,5.020000,1.309978,0
1990-08-01,5.030000,5.030000,4.950000,4.970000,1.305775,0
1990-09-01,4.970000,4.980000,4.950000,4.980000,1.318483,0
1990-10-01,4.990000,5.010000,4.970000,5.010000,1.334211,0
1990-11-01,5.010000,5.060000,5.010000,5.050000,1.354071,0
1990-12-01,5.050000,5.100000,5.050000,5.080000,1.371915,0
1991-01-01,5.100000,5.110000,5.070000,5.100000,1.385789,0
1991-02-01,5.130000,5.150000,5.100000,5.100000,1.393714,0
1991-03-01,5.080000,5.100000,5.040000,5.060000,1.390418,0
1991-04-01,5.060000,5.080000,5.050000,5.080000,1.404534,0
1991-05-01,5.080000,5.090000,5.060000,5.080000,1.412894,0
1991-06-01,5.060000,5.060000,5.020000,5.050000,1.413716,0
1991-07-01,5.040000,5.080000,5.030000,5.080000,1.430075,0
1991-08-01,5.070000,5.170000,5.070000,5.150000,1.458412,0
1991-09-01,5.150000,5.220000,5.150000,5.220000,1.487438,0
1991-10-01,5.220000,5.250000,5.200000,5.250000,1.503782,0
1991-11-01,5.250000,5.280000,5.240000,5.280000,1.521084,0
1991-12-01,5.300000,5.410000,5.300000,5.410000,1.567457,0
1992-01-01,5.390000,5.400000,5.280000,5.290000,1.540964,0
1992-02-01,5.270000,5.310000,5.230000,5.280000,1.546841,0
1992-03-01,5.250000,5.250000,5.050000,5.080000,1.495642,0
1992-04-01,5.100000,5.150000,5.090000,5.100000,1.509552,0
1992-05-01,5.110000,5.190000,5.110000,5.160000,1.535443,0
1992-06-01,5.140000,5.220000,5.140000,5.220000,1.561786,0
1992-07-01,5.220000,5.340000,5.220000,5.290000,1.590957,0
1992-08-01,5.300000,5.370000,5.300000,5.340000,1.614815,0
1992-09-01,5.350000,5.420000,5.350000,5.400000,1.640639,0
1992-10-01,5.430000,5.430000,5.280000,5.290000,1.614995,0
1992-11-01,5.270000,5.280000,5.220000,5.220000,1.601785,0
1992-12-01,5.220000,5.280000,5.220000,5.270000,1.624910,0
1993-01-01,5.290000,5.360000,5.260000,5.360000,1.661805,0
1993-02-01,5.360000,5.440000,5.340000,5.420000,1.687979,0
1993-03-01,5.440000,5.460000,5.380000,5.410000,1.692359,0
1993-04-01,5.400000,5.450000,5.390000,5.430000,1.706818,0
1993-05-01,5.440000,5.450000,5.380000,5.380000,1.699551,0
1993-06-01,5.400000,5.430000,5.380000,5.430000,1.723018,0
1993-07-01,5.430000,5.440000,5.390000,5.410000,1.724613,0
1993-08-01,5.400000,5.470000,5.400000,5.470000,1.752160,0
1993-09-01,5.460000,5.490000,5.450000,5.460000,1.756664,0
1993-10-01,5.460000,5.480000,5.440000,5.440000,1.757957,0
1993-11-01,5.420000,5.420000,5.380000,5.390000,1.749518,0
1993-12-01,5.390000,5.400000,5.380000,5.380000,1.754068,0
1994-01-01,5.370000,5.420000,5.370000,5.410000,1.772415,0
1994-02-01,5.400000,5.400000,5.310000,5.320000,1.750371,0
1994-03-01,5.300000,5.300000,5.200000,5.200000,1.718332,0
1994-04-01,5.140000,5.180000,5.130000,5.140000,1.707700,0
1994-05-01,5.130000,5.150000,5.070000,5.110000,1.705364,0
1994-06-01,5.120000,5.150000,5.090000,5.090000,1.707024,0
1994-07-01,5.090000,5.120000,5.070000,5.120000,1.725203,0
1994-08-01,5.120000,5.130000,5.080000,5.110000,1.730333,0
1994-09-01,5.110000,5.110000,5.040000,5.040000,1.715359,0
1994-10-01,5.030000,5.050000,5.000000,5.010000,1.714331,0
1994-11-01,5.000000,5.000000,4.950000,4.960000,1.705734,0
1994-12-01,4.960000,4.970000,4.940000,4.940000,1.707825,0
1995-01-01,4.940000,5.000000,4.940000,5.000000,1.738424,0
1995-02-01,4.990000,5.080000,4.980000,5.080000,1.775468,0
1995-03-01,5.080000,5.110000,5.050000,5.080000,1.784603,0
1995-04-01,5.100000,5.140000,5.100000,5.120000,1.809319,0
