Date,Open,High,Low,Close,Adj Close,Volume
1989-09-01,10.000000,10.000000,10.000000,10.000000,1.654804,0
1989-10-01,10.020000,10.310000,10.020000,10.280000,1.701650,0
1989-11-01,10.300000,10.320000,10.230000,10.270000,1.711348,0
1989-12-01,10.290000,10.330000,10.200000,10.200000,1.711034,0
1990-01-01,10.190000,10.190000,9.820000,9.880000,1.669290,0
1990-02-01,9.900000,9.910000,9.690000,9.790000,1.665617,0
1990-03-01,9.730000,9.820000,9.620000,9.710000,1.662969,0
1990-04-01,9.700000,9.790000,9.410000,9.440000,1.629105,0
1990-05-01,9.430000,9.750000,9.420000,9.740000,1.692751,0
1990-06-01,9.850000,9.910000,9.750000,9.860000,1.726037,0
1990-07-01,9.880000,9.910000,9.750000,9.910000,1.747218,0
1990-08-01,9.940000,9.940000,9.380000,9.500000,1.686332,0
1990-09-01,9.470000,9.530000,9.380000,9.530000,1.705301,0
1990-10-01,9.590000,9.660000,9.440000,9.630000,1.734183,0
1990-11-01,9.630000,9.890000,9.630000,9.890000,1.793532,0
1990-12-01,9.940000,10.160000,9.910000,10.010000,1.828300,0
1991-01-01,10.130000,10.130000,9.840000,10.050000,1.847281,0
1991-02-01,10.160000,10.250000,10.030000,10.030000,1.855073,0
1991-03-01,9.940000,10.030000,9.810000,9.970000,1.854854,0
1991-04-01,9.970000,10.090000,9.940000,10.030000,1.878642,0
1991-05-01,10.060000,10.090000,9.880000,9.970000,1.879620,0
1991-06-01,9.880000,9.880000,9.720000,9.820000,1.864579,0
1991-07-01,9.810000,9.880000,9.750000,9.880000,1.887587,0
1991-08-01,9.880000,10.160000,9.880000,10.100000,1.942595,0
1991-09-01,10.130000,10.320000,10.090000,10.320000,1.998878,0
1991-10-01,10.340000,10.380000,10.160000,10.320000,2.010577,0
1991-11-01,10.310000,10.380000,10.250000,10.330000,2.025493,0
1991-12-01,10.380000,10.780000,10.380000,10.780000,2.127554,0
1992-01-01,10.720000,10.780000,10.380000,10.390000,2.063250,0
1992-02-01,10.340000,10.440000,10.250000,10.390000,2.076653,0
1992-03-01,10.310000,10.310000,10.060000,10.130000,2.036507,0
1992-04-01,10.190000,10.280000,10.090000,10.100000,2.042573,0
1992-05-01,10.130000,10.340000,10.130000,10.270000,2.089169,0
1992-06-01,10.220000,10.370000,10.220000,10.360000,2.119898,0
1992-07-01,10.380000,10.710000,10.380000,10.650000,2.191919,0
1992-08-01,10.650000,10.770000,10.600000,10.670000,2.209486,0
1992-09-01,10.700000,10.900000,10.670000,10.770000,2.241557,0
1992-10-01,10.850000,10.850000,10.490000,10.500000,2.197183,0
1992-11-01,10.460000,10.520000,10.390000,10.430000,2.195242,0
1992-12-01,10.440000,10.560000,10.310000,10.360000,2.192491,0
1993-01-01,10.420000,10.570000,10.330000,10.570000,2.251041,0
1993-02-01,10.580000,10.850000,10.550000,10.790000,2.309495,0
1993-03-01,10.860000,10.960000,10.720000,10.730000,2.308205,0
1993-04-01,10.710000,10.880000,10.650000,10.760000,2.335729,0
1993-05-01,10.830000,10.870000,10.700000,10.710000,2.337866,0
1993-06-01,10.790000,10.980000,10.760000,10.980000,2.408901,0
1993-07-01,10.980000,11.080000,10.900000,11.010000,2.427865,0
1993-08-01,10.990000,11.260000,10.990000,11.250000,2.494383,0
1993-09-01,11.250000,11.420000,11.210000,11.280000,2.513557,0
1993-10-01,11.310000,11.450000,11.260000,11.270000,2.523611,0
1993-11-01,11.190000,11.190000,10.920000,10.980000,2.470699,0
1993-12-01,11.000000,11.110000,10.710000,10.710000,2.422024,0
1994-01-01,10.640000,10.880000,10.640000,10.860000,2.526872,0
1994-02-01,10.800000,10.810000,10.410000,10.460000,2.445715,0
1994-03-01,10.370000,10.370000,10.060000,10.060000,2.364431,0
1994-04-01,9.810000,10.030000,9.810000,9.880000,2.339058,0
1994-05-01,9.880000,9.970000,9.680000,9.810000,2.334986,0
1994-06-01,9.850000,10.000000,9.670000,9.670000,2.314365,0
1994-07-01,9.680000,9.820000,9.590000,9.820000,2.363841,0
1994-08-01,9.820000,9.840000,9.640000,9.750000,2.361094,0
1994-09-01,9.750000,9.750000,9.460000,9.480000,2.309463,0
1994-10-01,9.450000,9.480000,9.320000,9.380000,2.299689,0
1994-11-01,9.320000,9.400000,9.240000,9.350000,2.305607,0
1994-12-01,9.340000,9.490000,9.340000,9.410000,2.334430,0
1995-01-01,9.380000,9.550000,9.380000,9.550000,2.384583,0
1995-02-01,9.520000,9.750000,9.510000,9.750000,2.448412,0
1995-03-01,9.750000,9.870000,9.580000,9.760000,2.464344,0
1995-04-01,9.820000,9.900000,9.820000,9.870000,2.508020,0
1995-05-01,9.860000,10.540000,9.860000,10.540000,2.692440,0
1995-06-01,10.600000,10.750000,10.460000,10.580000,2.717111,0
1995-07-01,10.580000,10.730000,10.230000,10.340000,2.670155,0
1995-08-01,10.290000,10.510000,10.150000,10.510000,2.727823,0
1995-09-01,10.560000,10.680000,10.520000,10.640000,2.776163,0
1995-10-01,10.650000,10.910000,10.650000,10.880000,2.853700,0
1995-11-01,10.920000,11.100000,10.880000,11.100000,2.925439,0
1995-12-01,11.140000,11.360000,11.030000,11.360000,3.008183,0
1996-01-01,11.330000,11.350000,11.080000,11.260000,2.996274,0
1996-02-01,11.190000,11.200000,10.620000,10.620000,2.839106,0
1996-03-01,10.730000,10.790000,10.310000,10.380000,2.788335,0
1996-04-01,10.400000,10.460000,10.070000,10.150000,2.740906,0
1996-05-01,10.140000,10.210000,9.920000,10.020000,2.720189,0
1996-06-01,10.000000,10.140000,9.850000,10.140000,2.768373,0
1996-07-01,10.140000,10.150000,9.870000,10.100000,2.770700,0
1996-08-01,10.240000,10.370000,9.910000,9.910000,2.733018,0
1996-09-01,9.950000,10.180000,9.850000,10.130000,2.809741,0
1996-10-01,10.200000,10.460000,10.190000,10.460000,2.915345,0
1996-11-01,10.440000,10.750000,10.440000,10.750000,3.011763,0
1996-12-01,10.750000,10.770000,10.380000,10.430000,2.936978,0
1997-01-01,10.310000,10.340000,10.140000,10.300000,2.915016,0
1997-02-01,10.360000,10.530000,10.220000,10.240000,2.913730,0
1997-03-01,10.210000,10.220000,9.950000,9.950000,2.845129,0
1997-04-01,9.960000,10.120000,9.890000,10.120000,2.908651,0
1997-05-01,10.150000,10.210000,10.040000,10.170000,2.938472,0
1997-06-01,10.190000,10.460000,10.190000,10.320000,2.998436,0
1997-07-01,10.390000,10.880000,10.390000,10.880000,3.176459,0
1997-08-01,10.690000,10.690000,10.440000,10.500000,3.080579,0
1997-09-01,10.550000,10.850000,10.440000,10.740000,3.167185,0
1997-10-01,10.850000,11.040000,10.700000,11.040000,3.270827,0
1997-11-01,10.970000,11.140000,10.920000,11.140000,3.317611,0
1997-12-01,11.150000,11.320000,11.030000,11.270000,3.371184,0
1998-01-01,11.270000,11.580000,11.230000,11.440000,3.439216,0
1998-02-01,11.380000,11.460000,11.250000,11.290000,3.409977,0
1998-03-01,11.180000,11.390000,11.120000,11.270000,3.419101,0
1998-04-01,11.320000,11.470000,11.080000,11.220000,3.420091,0
1998-05-01,11.250000,11.390000,11.120000,11.390000,3.488596,0
1998-06-01,11.430000,11.640000,11.380000,11.620000,3.575723,0
1998-07-01,11.610000,11.680000,11.440000,11.500000,3.554746,0
1998-08-01,11.580000,11.970000,11.570000,11.970000,3.718475,0
1998-09-01,11.900000,12.320000,11.900000,12.320000,3.843028,0
1998-10-01,12.440000,12.660000,11.940000,12.050000,3.774633,0
1998-11-01,11.920000,12.120000,11.730000,12.120000,3.813182,0
1998-12-01,12.150000,12.250000,11.780000,11.980000,3.784578,0
1999-01-01,11.920000,12.030000,11.700000,12.030000,3.840794,0
1999-02-01,11.900000,11.900000,11.340000,11.410000,3.657171,0
1999-03-01,11.300000,11.530000,11.250000,11.340000,3.650182,0
1999-04-01,11.270000,11.580000,11.270000,11.300000,3.654684,0
1999-05-01,11.300000,11.300000,11.040000,11.070000,3.597530,0
1999-06-01,10.950000,10.950000,10.660000,10.900000,3.558368,0
1999-07-01,10.860000,11.030000,10.780000,10.780000,3.536221,0
1999-08-01,10.780000,10.920000,10.600000,10.680000,3.520992,0
1999-09-01,10.670000,10.850000,10.600000,10.710000,3.547476,0
1999-10-01,10.600000,10.670000,10.400000,10.670000,3.551263,0
