Date,Open,High,Low,Close,Adj Close,Volume
1986-04-01,10.000000,10.140000,9.940000,10.030000,1.842070,0
1986-05-01,10.020000,10.020000,9.850000,9.880000,1.817807,0
1986-06-01,9.880000,9.900000,9.780000,9.900000,1.831577,0
1986-07-01,9.900000,9.950000,9.800000,9.820000,1.826114,0
1986-08-01,9.850000,10.310000,9.850000,10.310000,1.928717,0
1986-09-01,10.420000,10.420000,10.140000,10.190000,1.917732,0
1986-10-01,10.190000,10.330000,10.190000,10.330000,1.955242,0
1986-11-01,10.330000,10.480000,10.330000,10.470000,1.992441,0
1986-12-01,10.470000,10.510000,10.450000,10.510000,2.010731,0
1987-01-01,10.510000,10.790000,10.510000,10.740000,2.066000,0
1987-02-01,10.740000,10.750000,10.660000,10.670000,2.063344,0
1987-03-01,10.670000,10.700000,10.520000,10.520000,2.044828,0
1987-04-01,10.510000,10.510000,9.370000,9.580000,1.871640,0
1987-05-01,9.600000,9.600000,9.040000,9.390000,1.846143,0
1987-06-01,9.440000,9.750000,9.430000,9.600000,1.898623,0
1987-07-01,9.600000,9.710000,9.590000,9.620000,1.913943,0
1987-08-01,9.610000,9.640000,9.560000,9.600000,1.920843,0
1987-09-01,9.590000,9.590000,8.970000,8.970000,1.804752,0
1987-10-01,8.950000,9.110000,8.340000,9.040000,1.830412,0
1987-11-01,9.050000,9.400000,9.050000,9.260000,1.886874,0
1987-12-01,9.250000,9.430000,9.180000,9.430000,1.932310,0
1988-01-01,9.430000,9.790000,9.420000,9.790000,2.018832,0
1988-02-01,9.810000,9.880000,9.750000,9.870000,2.047282,0
1988-03-01,9.880000,9.880000,9.440000,9.530000,1.986823,0
1988-04-01,9.540000,9.570000,9.480000,9.530000,1.998824,0
1988-05-01,9.480000,9.500000,9.400000,9.410000,1.985100,0
1988-06-01,9.440000,9.610000,9.440000,9.590000,2.033821,0
1988-07-01,9.600000,9.600000,9.520000,9.550000,2.037927,0
1988-08-01,9.560000,9.600000,9.480000,9.550000,2.049299,0
1988-09-01,9.550000,9.710000,9.550000,9.690000,2.091425,0
1988-10-01,9.700000,9.930000,9.700000,9.930000,2.155894,0
1988-11-01,9.930000,9.940000,9.690000,9.710000,2.119653,0
1988-12-01,9.730000,9.850000,9.640000,9.850000,2.162990,0
1989-01-01,9.840000,10.030000,9.840000,10.020000,2.219219,0
1989-02-01,10.030000,10.030000,9.830000,9.860000,2.188855,0
1989-03-01,9.840000,9.880000,9.730000,9.780000,2.184863,0
1989-04-01,9.790000,10.040000,9.790000,10.040000,2.254826,0
1989-05-01,10.020000,10.220000,10.020000,10.190000,2.301350,0
1989-06-01,10.190000,10.330000,10.140000,10.230000,2.323500,0
1989-07-01,10.230000,10.320000,10.210000,10.320000,2.357226,0
1989-08-01,10.370000,10.370000,10.040000,10.050000,2.307653,0
1989-09-01,10.060000,10.080000,9.910000,9.990000,2.307018,0
1989-10-01,9.990000,10.130000,9.980000,10.020000,2.327379,0
1989-11-01,10.020000,10.190000,10.020000,10.190000,2.379176,0
1989-12-01,10.210000,10.220000,10.150000,10.180000,2.391298,0
1990-01-01,10.180000,10.180000,9.920000,9.950000,2.356905,0
1990-02-01,9.970000,10.090000,9.960000,10.070000,2.391719,0
1990-03-01,10.050000,10.070000,9.980000,10.000000,2.389063,0
1990-04-01,10.000000,10.020000,9.750000,9.750000,2.341527,0
1990-05-01,9.750000,10.050000,9.750000,10.050000,2.427623,0
1990-06-01,10.090000,10.110000,10.030000,10.110000,2.455065,0
1990-07-01,10.100000,10.250000,10.080000,10.250000,2.502940,0
1990-08-01,10.280000,10.280000,9.690000,9.840000,2.414979,0
1990-09-01,9.850000,9.950000,9.740000,9.770000,2.411946,0
1990-10-01,9.810000,9.990000,9.780000,9.990000,2.479715,0
1990-11-01,9.990000,10.220000,9.990000,10.220000,2.551124,0
1990-12-01,10.230000,10.290000,10.190000,10.200000,2.559694,0
1991-01-01,10.230000,10.280000,10.120000,10.280000,2.600523,0
1991-02-01,10.310000,10.410000,10.240000,10.240000,2.603855,0
1991-03-01,10.220000,10.240000,10.150000,10.180000,2.602064,0
1991-04-01,10.170000,10.280000,10.170000,10.260000,2.636254,0
1991-05-01,10.280000,10.320000,10.270000,10.290000,2.657718,0
1991-06-01,10.290000,10.290000,10.070000,10.200000,2.648872,0
1991-07-01,10.200000,10.280000,10.200000,10.280000,2.683662,0
1991-08-01,10.280000,10.370000,10.280000,10.370000,2.721201,0
1991-09-01,10.370000,10.470000,10.350000,10.470000,2.762106,0
1991-10-01,10.490000,10.550000,10.490000,10.530000,2.792619,0
1991-11-01,10.540000,10.560000,10.420000,10.430000,2.780090,0
1991-12-01,10.420000,10.640000,10.360000,10.640000,2.850293,0
1992-01-01,10.660000,10.750000,10.560000,10.560000,2.843342,0
1992-02-01,10.530000,10.560000,10.460000,10.520000,2.846849,0
1992-03-01,10.510000,10.510000,10.420000,10.470000,2.847420,0
1992-04-01,10.490000,10.620000,10.490000,10.520000,2.875589,0
1992-05-01,10.530000,10.660000,10.530000,10.620000,2.917900,0
1992-06-01,10.590000,10.780000,10.590000,10.770000,2.973981,0
1992-07-01,10.790000,11.240000,10.790000,11.160000,3.096614,0
1992-08-01,11.120000,11.120000,10.760000,10.860000,3.027710,0
1992-09-01,10.870000,10.960000,10.770000,10.850000,3.039772,0
1992-10-01,10.870000,10.870000,10.450000,10.550000,2.970232,0
1992-11-01,10.550000,10.900000,10.550000,10.890000,3.081507,0
1992-12-01,10.880000,10.950000,10.750000,10.760000,3.059318,0
1993-01-01,10.770000,10.830000,10.700000,10.830000,3.094462,0
1993-02-01,10.830000,11.340000,10.830000,11.340000,3.255530,0
1993-03-01,11.350000,11.430000,11.080000,11.080000,3.194689,0
1993-04-01,11.090000,11.240000,11.020000,11.170000,3.234948,0
1993-05-01,11.190000,11.260000,11.130000,11.190000,3.255315,0
1993-06-01,11.210000,11.320000,11.180000,11.310000,3.304990,0
1993-07-01,11.310000,11.320000,11.140000,11.170000,3.278571,0
1993-08-01,11.170000,11.440000,11.170000,11.440000,3.372920,0
1993-09-01,11.440000,11.610000,11.440000,11.550000,3.420316,0
1993-10-01,11.540000,11.660000,11.460000,11.460000,3.408703,0
1993-11-01,11.420000,11.420000,11.220000,11.300000,3.375828,0
1993-12-01,11.300000,11.530000,11.300000,11.370000,3.411796,0
1994-01-01,11.330000,11.450000,11.320000,11.440000,3.447759,0
1994-02-01,11.430000,11.430000,11.080000,11.110000,3.362994,0
1994-03-01,11.030000,11.030000,10.550000,10.550000,3.207642,0
1994-04-01,10.250000,10.750000,10.250000,10.600000,3.238061,0
1994-05-01,10.570000,10.680000,10.440000,10.660000,3.271724,0
1994-06-01,10.680000,10.890000,10.540000,10.540000,3.250123,0
1994-07-01,10.540000,10.750000,10.530000,10.750000,3.330359,0
1994-08-01,10.740000,10.750000,10.590000,10.690000,3.327348,0
1994-09-01,10.700000,10.710000,10.430000,10.430000,3.261707,0
1994-10-01,10.420000,10.430000,10.140000,10.140000,3.186599,0
1994-11-01,10.040000,10.040000,9.640000,9.920000,3.133532,0
1994-12-01,9.950000,10.180000,9.930000,10.130000,3.216954,0
1995-01-01,10.090000,10.460000,10.090000,10.460000,3.339222,0
1995-02-01,10.480000,10.790000,10.460000,10.790000,3.461528,0
1995-03-01,10.820000,10.820000,10.630000,10.770000,3.469931,0
1995-04-01,10.780000,10.890000,10.710000,10.710000,3.467018,0
1995-05-01,10.700000,11.060000,10.690000,11.060000,3.596668,0
1995-06-01,11.070000,11.180000,10.770000,10.780000,3.521853,0
1995-07-01,10.780000,11.030000,10.780000,10.840000,3.557642,0
1995-08-01,10.810000,10.920000,10.680000,10.920000,3.600837,0
1995-09-01,10.960000,11.050000,10.840000,10.910000,3.614499,0
1995-10-01,10.930000,11.080000,10.930000,11.060000,3.680818,0
1995-11-01,11.100000,11.270000,11.100000,11.270000,3.768098,0
1995-12-01,11.310000,11.400000,11.190000,11.370000,3.818595,0
1996-01-01,11.370000,11.400000,11.250000,11.400000,3.845950,0
1996-02-01,11.400000,11.510000,11.260000,11.260000,3.815833,0
1996-03-01,11.290000,11.310000,10.880000,10.990000,3.739894,0
1996-04-01,10.990000,11.000000,10.780000,10.920000,3.733116,0
1996-05-01,10.920000,11.000000,10.760000,10.870000,3.732712,0
1996-06-01,10.850000,10.980000,10.740000,10.980000,3.788163,0
1996-07-01,10.970000,11.050000,10.770000,11.050000,3.829529,0
1996-08-01,11.100000,11.260000,10.990000,10.990000,3.826444,0
1996-09-01,10.980000,11.110000,10.910000,11.110000,3.885841,0
1996-10-01,11.140000,11.240000,11.140000,11.240000,3.948723,0
1996-11-01,11.240000,11.420000,11.240000,11.420000,4.029951,0
1996-12-01,11.410000,11.420000,11.210000,11.220000,3.976461,0
1997-01-01,11.170000,11.180000,11.060000,11.120000,3.990999,0
1997-02-01,11.140000,11.310000,11.140000,11.180000,4.031086,0
1997-03-01,11.150000,11.160000,10.970000,10.970000,3.971712,0
1997-04-01,10.970000,11.030000,10.900000,11.030000,4.011719,0
1997-05-01,11.040000,11.170000,11.040000,11.170000,4.080851,0
1997-06-01,11.170000,11.320000,11.170000,11.240000,4.125312,0
1997-07-01,11.240000,11.550000,11.240000,11.550000,4.257633,0
1997-08-01,11.470000,11.470000,11.300000,11.330000,4.194722,0
1997-09-01,11.330000,11.440000,11.330000,11.430000,4.250503,0
1997-10-01,11.440000,11.470000,11.300000,11.420000,4.264711,0
1997-11-01,11.380000,11.450000,11.370000,11.450000,4.294342,0
1997-12-01,11.450000,11.600000,11.450000,11.530000,4.342931,0
1998-01-01,11.550000,11.710000,11.540000,11.590000,4.410816,0
1998-02-01,11.570000,11.630000,11.540000,11.540000,4.410834,0
1998-03-01,11.470000,11.510000,11.430000,11.490000,4.408534,0
1998-04-01,11.500000,11.550000,11.290000,11.340000,4.369630,0
1998-05-01,11.360000,11.520000,11.360000,11.520000,4.457944,0
1998-06-01,11.520000,11.590000,11.500000,11.510000,4.473526,0
1998-07-01,11.510000,11.520000,11.480000,11.490000,4.484452,0
1998-08-01,11.500000,11.660000,11.500000,11.660000,4.570293,0
1998-09-01,11.650000,11.830000,11.630000,11.830000,4.656513,0
1998-10-01,11.860000,11.960000,11.720000,11.730000,4.635675,0
1998-11-01,11.700000,11.730000,11.670000,11.730000,4.654724,0
1998-12-01,11.730000,11.780000,11.590000,11.590000,4.617700,0
1999-01-01,11.580000,11.690000,11.540000,11.690000,4.721769,0
1999-02-01,11.680000,11.680000,11.600000,11.610000,4.708807,0
1999-03-01,11.570000,11.600000,11.530000,11.560000,4.705971,0
