Date,Open,High,Low,Close,Adj Close,Volume
1980-06-01,10.000000,10.000000,9.840000,9.840000,0.690574,0
1980-07-01,9.760000,9.790000,9.020000,9.020000,0.633026,0
1980-08-01,9.380000,9.440000,8.900000,9.030000,0.639065,0
1980-09-01,9.090000,9.210000,8.720000,8.770000,0.626181,0
1980-10-01,8.820000,9.160000,8.640000,8.680000,0.625428,0
1980-11-01,8.690000,8.850000,8.550000,8.720000,0.634068,0
1980-12-01,8.690000,8.970000,8.460000,8.850000,0.649390,0
1981-01-01,8.820000,8.990000,8.680000,8.750000,0.647831,0
1981-02-01,8.680000,8.700000,8.450000,8.450000,0.634979,0
1981-03-01,8.400000,8.780000,8.400000,8.510000,0.645585,0
1981-04-01,8.530000,8.530000,8.000000,8.000000,0.612648,0
1981-05-01,7.970000,8.380000,7.850000,8.380000,0.648056,0
1981-06-01,8.290000,8.510000,8.120000,8.120000,0.634113,0
1981-07-01,8.090000,8.210000,7.850000,7.850000,0.619024,0
1981-08-01,7.710000,8.030000,7.520000,7.520000,0.598999,0
1981-09-01,7.560000,7.930000,7.420000,7.420000,0.597656,0
1981-10-01,7.450000,7.930000,7.450000,7.930000,0.646057,0
1981-11-01,7.960000,8.750000,7.960000,8.690000,0.715866,0
1981-12-01,8.530000,8.640000,8.060000,8.170000,0.679632,0
1982-01-01,8.090000,8.110000,7.880000,7.920000,0.665694,0
1982-02-01,8.170000,8.240000,7.710000,8.060000,0.695911,0
1982-03-01,8.140000,8.340000,8.050000,8.100000,0.706690,0
1982-04-01,8.140000,8.410000,8.100000,8.260000,0.728243,0
1982-05-01,8.240000,8.480000,8.240000,8.330000,0.741922,0
1982-06-01,8.290000,8.300000,8.060000,8.170000,0.735067,0
1982-07-01,8.180000,8.520000,8.150000,8.410000,0.764635,0
1982-08-01,8.500000,9.050000,8.460000,8.820000,0.810179,0
1982-09-01,8.880000,9.120000,8.860000,9.090000,0.842933,0
1982-10-01,9.110000,9.290000,8.200000,9.220000,0.863049,0
1982-11-01,9.250000,9.360000,9.170000,9.170000,0.866372,0
