Date,Open,High,Low,Close,Adj Close,Volume
1986-12-01,10.000000,10.010000,9.690000,9.690000,2.103091,0
1987-01-01,9.860000,11.000000,9.860000,10.930000,2.372218,0
1987-02-01,11.040000,11.420000,11.040000,11.420000,2.485477,0
1987-03-01,11.420000,12.110000,11.420000,11.730000,2.552946,0
1987-04-01,11.750000,12.130000,11.150000,11.590000,2.522476,0
1987-05-01,11.580000,11.850000,11.100000,11.600000,2.524652,0
1987-06-01,11.600000,12.440000,11.540000,12.220000,2.659591,0
1987-07-01,12.180000,12.630000,12.180000,12.630000,2.748824,0
1987-08-01,12.600000,13.410000,12.560000,13.140000,2.894613,0
1987-09-01,12.900000,12.900000,12.370000,12.830000,2.826323,0
1987-10-01,13.040000,13.070000,9.120000,10.060000,2.216120,0
1987-11-01,10.230000,10.230000,9.230000,9.230000,2.033278,0
1987-12-01,9.300000,10.170000,8.980000,9.800000,2.158843,0
1988-01-01,10.150000,10.250000,9.530000,10.130000,2.247446,0
1988-02-01,10.070000,10.640000,9.870000,10.640000,2.386458,0
1988-03-01,10.620000,10.800000,10.290000,10.330000,2.316928,0
1988-04-01,10.230000,10.880000,10.230000,10.480000,2.350572,0
1988-05-01,10.500000,10.560000,10.110000,10.550000,2.366272,0
1988-06-01,10.740000,11.140000,10.680000,11.060000,2.480660,0
1988-07-01,10.990000,11.160000,10.510000,10.890000,2.442532,0
1988-08-01,10.900000,10.930000,10.260000,10.460000,2.378670,0
1988-09-01,10.340000,10.930000,10.340000,10.920000,2.483277,0
1988-10-01,10.900000,11.330000,10.870000,11.140000,2.533307,0
1988-11-01,11.150000,11.150000,10.540000,10.930000,2.485552,0
1988-12-01,10.900000,11.190000,10.870000,11.080000,2.519663,0
1989-01-01,10.980000,11.920000,10.980000,11.920000,2.732762,0
1989-02-01,11.910000,12.040000,11.550000,11.620000,2.663985,0
1989-03-01,11.560000,12.100000,11.560000,11.900000,2.728178,0
1989-04-01,11.960000,12.540000,11.910000,12.540000,2.874903,0
1989-05-01,12.510000,13.060000,12.350000,13.030000,2.987239,0
1989-06-01,13.100000,13.330000,12.920000,12.920000,2.962021,0
1989-07-01,12.970000,13.930000,12.970000,13.930000,3.193572,0
1989-08-01,13.830000,14.210000,13.730000,14.210000,3.294643,0
1989-09-01,14.300000,14.300000,13.950000,14.160000,3.283052,0
1989-10-01,14.240000,14.630000,13.580000,13.830000,3.206540,0
1989-11-01,13.880000,14.080000,13.520000,14.070000,3.262184,0
1989-12-01,14.250000,14.370000,13.940000,14.140000,3.278414,0
1990-01-01,14.390000,14.390000,12.950000,13.190000,3.128254,0
1990-02-01,13.200000,13.440000,13.080000,13.380000,3.173316,0
1990-03-01,13.420000,13.890000,13.420000,13.780000,3.268183,0
1990-04-01,13.730000,14.030000,13.400000,13.450000,3.189918,0
1990-05-01,13.500000,14.640000,13.500000,14.640000,3.472148,0
1990-06-01,14.740000,14.920000,14.290000,14.530000,3.446060,0
1990-07-01,14.580000,15.020000,14.290000,14.360000,3.405741,0
1990-08-01,14.350000,14.350000,12.490000,13.110000,3.141691,0
1990-09-01,13.140000,13.210000,12.220000,12.420000,2.976340,0
1990-10-01,12.790000,12.850000,12.050000,12.360000,2.961961,0
1990-11-01,12.360000,13.260000,12.360000,13.260000,3.177638,0
1990-12-01,13.350000,13.680000,13.220000,13.290000,3.184827,0
1991-01-01,13.130000,13.890000,12.550000,13.890000,3.408398,0
1991-02-01,13.870000,14.920000,13.870000,14.800000,3.631700,0
1991-03-01,14.930000,15.250000,14.850000,15.200000,3.729853,0
1991-04-01,15.050000,15.760000,15.050000,15.120000,3.710222,0
1991-05-01,15.310000,15.780000,14.900000,15.780000,3.872177,0
1991-06-01,15.730000,15.730000,15.030000,15.050000,3.693046,0
1991-07-01,15.290000,15.630000,15.120000,15.620000,3.832914,0
1991-08-01,15.600000,16.020000,15.250000,15.970000,3.957396,0
1991-09-01,15.860000,15.860000,15.520000,15.740000,3.900401,0
1991-10-01,15.810000,16.040001,15.300000,16.040001,3.974743,0
1991-11-01,15.990000,16.270000,15.340000,15.340000,3.801280,0
1991-12-01,15.590000,16.320000,14.980000,16.320000,4.044127,0
1992-01-01,16.309999,16.440001,16.059999,16.059999,4.062554,0
1992-02-01,16.090000,16.379999,15.980000,16.200001,4.097970,0
1992-03-01,16.190001,16.200001,15.850000,15.910000,4.024611,0
1992-04-01,15.930000,16.290001,15.470000,16.200001,4.097970,0
1992-05-01,16.129999,16.330000,15.960000,16.250000,4.110616,0
1992-06-01,16.320000,16.320000,15.580000,15.950000,4.034729,0
1992-07-01,16.139999,16.360001,16.020000,16.350000,4.135913,0
1992-08-01,16.370001,16.370001,15.760000,15.820000,4.039385,0
1992-09-01,15.920000,16.200001,15.850000,16.020000,4.090451,0
1992-10-01,16.000000,16.230000,15.530000,16.170000,4.128751,0
1992-11-01,16.340000,16.750000,16.120001,16.750000,4.276845,0
1992-12-01,16.780001,17.340000,16.299999,16.299999,4.161944,0
1993-01-01,16.290001,16.590000,16.110001,16.500000,4.284669,0
