Date,Open,High,Low,Close,Adj Close,Volume
1986-05-01,10.000000,10.130000,9.960000,9.960000,1.095709,0
1986-06-01,9.830000,10.220000,9.800000,10.220000,1.126902,0
1986-07-01,10.220000,10.360000,9.980000,10.080000,1.118049,0
1986-08-01,10.080000,10.490000,10.020000,10.490000,1.170535,0
1986-09-01,10.450000,10.450000,9.880000,10.050000,1.128225,0
1986-10-01,10.100000,10.180000,9.890000,10.150000,1.146221,0
1986-11-01,10.220000,10.310000,10.060000,10.280000,1.168132,0
1986-12-01,10.260000,10.410000,10.250000,10.250000,1.171904,0
1987-01-01,10.310000,10.450000,10.280000,10.280000,1.183269,0
1987-02-01,10.250000,10.330000,10.170000,10.330000,1.197051,0
1987-03-01,10.370000,10.410000,10.100000,10.100000,1.177356,0
1987-04-01,10.060000,10.090000,9.350000,9.550000,1.120670,0
1987-05-01,9.460000,9.460000,9.090000,9.340000,1.103594,0
1987-06-01,9.410000,9.540000,9.230000,9.410000,1.119960,0
1987-07-01,9.430000,9.480000,9.240000,9.240000,1.107368,0
1987-08-01,9.150000,9.290000,9.030000,9.030000,1.089867,0
1987-09-01,9.020000,9.020000,8.630000,8.630000,1.049250,0
1987-10-01,8.640000,9.120000,8.380000,9.070000,1.111057,0
1987-11-01,9.010000,9.240000,8.980000,9.050000,1.116520,0
1987-12-01,9.020000,9.180000,8.850000,9.130000,1.134348,0
1988-01-01,9.170000,9.490000,9.030000,9.490000,1.187484,0
1988-02-01,9.510000,9.580000,9.440000,9.540000,1.202000,0
1988-03-01,9.550000,9.570000,9.230000,9.260000,1.174122,0
1988-04-01,9.200000,9.310000,9.090000,9.090000,1.160848,0
1988-05-01,9.040000,9.070000,8.850000,8.880000,1.142071,0
1988-06-01,9.010000,9.260000,8.990000,9.180000,1.189371,0
1988-07-01,9.210000,9.210000,8.910000,8.940000,1.166324,0
1988-08-01,8.980000,9.080000,8.790000,8.910000,1.171085,0
1988-09-01,8.910000,9.200000,8.910000,9.190000,1.216931,0
1988-10-01,9.210000,9.350000,9.190000,9.350000,1.246888,0
1988-11-01,9.370000,9.370000,9.020000,9.110000,1.223403,0
1988-12-01,9.140000,9.230000,9.030000,9.160000,1.238871,0
1989-01-01,9.090000,9.340000,9.080000,9.280000,1.264499,0
1989-02-01,9.290000,9.310000,9.020000,9.060000,1.243479,0
1989-03-01,9.020000,9.120000,8.930000,9.070000,1.253448,0
1989-04-01,9.110000,9.240000,9.030000,9.240000,1.286610,0
1989-05-01,9.170000,9.460000,9.070000,9.460000,1.326596,0
1989-06-01,9.460000,9.970000,9.460000,9.970000,1.408105,0
1989-07-01,9.950000,10.110000,9.850000,10.110000,1.437281,0
1989-08-01,10.210000,10.210000,9.720000,9.750000,1.395271,0
1989-09-01,9.820000,9.880000,9.660000,9.700000,1.397721,0
1989-10-01,9.720000,10.050000,9.720000,10.010000,1.451972,0
1989-11-01,10.050000,10.070000,9.970000,10.030000,1.464568,0
1989-12-01,10.060000,10.110000,9.940000,9.960000,1.463557,0
1990-01-01,9.930000,9.930000,9.440000,9.530000,1.409570,0
1990-02-01,9.550000,9.590000,9.340000,9.440000,1.405939,0
1990-03-01,9.380000,9.500000,9.280000,9.340000,1.399721,0
1990-04-01,9.340000,9.420000,8.990000,9.020000,1.361334,0
1990-05-01,9.010000,9.360000,9.000000,9.360000,1.422936,0
1990-06-01,9.470000,9.570000,9.370000,9.510000,1.455882,0
1990-07-01,9.510000,9.540000,9.360000,9.510000,1.465788,0
1990-08-01,9.570000,9.570000,8.900000,9.040000,1.403053,0
1990-09-01,9.010000,9.090000,8.890000,9.080000,1.419625,0
1990-10-01,9.180000,9.250000,8.970000,9.210000,1.450251,0
1990-11-01,9.290000,9.570000,9.260000,9.570000,1.517864,0
1990-12-01,9.610000,9.890000,9.610000,9.700000,1.548918,0
1991-01-01,9.810000,9.850000,9.520000,9.740000,1.566179,0
1991-02-01,9.860000,9.960000,9.730000,9.730000,1.575103,0
1991-03-01,9.650000,9.720000,9.530000,9.690000,1.578170,0
1991-04-01,9.680000,9.830000,9.640000,9.750000,1.599018,0
1991-05-01,9.770000,9.810000,9.590000,9.670000,1.596421,0
1991-06-01,9.590000,9.600000,9.430000,9.530000,1.584076,0
