Date,Open,High,Low,Close,Adj Close,Volume
1980-01-01,11.060000,11.060000,10.920000,10.920000,0.827195,0
1980-02-01,10.920000,10.920000,10.020000,10.020000,0.763646,0
1980-03-01,10.020000,10.020000,9.140000,9.140000,0.701073,0
1980-04-01,9.140000,9.890000,9.140000,9.890000,0.763938,0
1980-05-01,9.890000,10.430000,9.890000,10.430000,0.811420,0
1980-06-01,10.430000,10.430000,10.430000,10.430000,0.816872,0
1980-07-01,10.430000,10.430000,10.170000,10.170000,0.801581,0
1980-08-01,10.170000,10.170000,9.750000,9.750000,0.773371,0
1980-09-01,9.750000,9.750000,9.540000,9.540000,0.762185,0
1980-10-01,9.540000,9.540000,9.480000,9.480000,0.763026,0
1980-11-01,9.480000,9.480000,9.280000,9.280000,0.752449,0
1980-12-01,9.280000,9.280000,9.000000,9.000000,0.735330,0
1981-01-01,9.000000,9.070000,9.000000,9.070000,0.747088,0
1981-02-01,9.070000,9.070000,8.970000,8.970000,0.744726,0
1981-03-01,8.970000,9.080000,8.970000,9.080000,0.760145,0
1981-04-01,9.080000,9.080000,8.680000,8.680000,0.732702,0
1981-05-01,8.680000,8.750000,8.680000,8.750000,0.744681,0
1981-06-01,8.750000,8.750000,8.740000,8.740000,0.750138,0
1981-07-01,8.740000,8.740000,8.470000,8.470000,0.733080,0
1981-08-01,8.470000,8.470000,7.550000,7.550000,0.659110,0
1981-09-01,7.550000,7.550000,7.460000,7.460000,0.657385,0
1981-10-01,7.460000,7.640000,7.460000,7.640000,0.680548,0
1981-11-01,7.640000,8.010000,7.640000,8.010000,0.721045,0
1981-12-01,8.010000,8.010000,7.360000,7.360000,0.669102,0
1982-01-01,7.360000,7.390000,7.360000,7.390000,0.678436,0
1982-02-01,7.390000,7.580000,7.390000,7.580000,0.703332,0
1982-03-01,7.580000,7.620000,7.580000,7.620000,0.714098,0
1982-04-01,7.620000,8.010000,7.620000,8.010000,0.757744,0
1982-05-01,8.010000,8.060000,8.010000,8.060000,0.769849,0
1982-06-01,8.060000,8.060000,7.780000,7.780000,0.750034,0
1982-07-01,7.780000,8.000000,7.780000,8.000000,0.778585,0
1982-08-01,8.000000,8.440000,8.000000,8.440000,0.829511,0
1982-09-01,8.440000,8.790000,8.440000,8.790000,0.871975,0
1982-10-01,8.790000,8.870000,8.790000,8.870000,0.887695,0
1982-11-01,8.870000,8.870000,8.680000,8.680000,0.875853,0
1982-12-01,8.680000,8.980000,8.680000,8.980000,0.913437,0
1983-01-01,8.980000,9.010000,8.980000,9.010000,0.923940,0
1983-02-01,9.010000,9.310000,9.010000,9.310000,0.962203,0
1983-03-01,9.310000,9.310000,9.290000,9.290000,0.967438,0
1983-04-01,9.290000,9.580000,9.290000,9.580000,1.004979,0
1983-05-01,9.580000,9.580000,9.190000,9.190000,0.971174,0
1983-06-01,9.190000,9.240000,9.190000,9.240000,0.983646,0
1983-07-01,9.240000,9.240000,9.120000,9.120000,0.978429,0
1983-08-01,9.120000,9.120000,9.020000,9.020000,0.975302,0
1983-09-01,9.020000,9.280000,9.020000,9.280000,1.011399,0
1983-10-01,9.280000,9.280000,9.080000,9.080000,0.997565,0
1983-11-01,9.080000,9.080000,9.000000,9.000000,0.996507,0
1983-12-01,9.000000,9.040000,9.000000,9.040000,1.008937,0
1984-01-01,9.040000,9.250000,9.040000,9.250000,1.040816,0
1984-02-01,9.250000,9.250000,9.090000,9.090000,1.031140,0
1984-03-01,9.090000,9.090000,9.080000,9.080000,1.037973,0
1984-04-01,9.080000,9.080000,9.020000,9.020000,1.039231,0
1984-05-01,9.020000,9.020000,8.240000,8.240000,0.956952,0
1984-06-01,8.240000,8.500000,8.240000,8.500000,0.995202,0
1984-07-01,8.500000,8.890000,8.500000,8.890000,1.050039,0
1984-08-01,8.890000,8.940000,8.890000,8.940000,1.065218,0
1984-09-01,8.940000,8.940000,8.700000,8.700000,1.045441,0
1984-10-01,8.700000,8.840000,8.700000,8.840000,1.071131,0
1984-11-01,8.840000,8.850000,8.840000,8.850000,1.081417,0
1984-12-01,8.850000,8.990000,8.850000,8.990000,1.107671,0
1985-01-01,8.990000,9.380000,8.990000,9.340000,1.160365,0
1985-02-01,9.270000,9.270000,9.140000,9.140000,1.144559,0
1985-03-01,9.110000,9.130000,9.090000,9.130000,1.152638,0
1985-04-01,9.140000,9.370000,9.140000,9.320000,1.186128,0
1985-05-01,9.320000,9.600000,9.320000,9.600000,1.231276,0
1985-06-01,9.630000,9.700000,9.630000,9.680000,1.250807,0
1985-07-01,9.680000,9.730000,9.660000,9.660000,1.257343,0
1985-08-01,9.650000,9.650000,9.550000,9.560000,1.253532,0
1985-09-01,9.550000,9.560000,9.380000,9.380000,1.239403,0
1985-10-01,9.370000,9.590000,9.370000,9.590000,1.276669,0
1985-11-01,9.620000,9.850000,9.620000,9.840000,1.319623,0
1985-12-01,9.830000,10.000000,9.780000,10.000000,1.350135,0
1986-01-01,10.020000,10.410000,10.020000,10.410000,1.415560,0
1986-02-01,10.410000,10.720000,10.400000,10.720000,1.468161,0
1986-03-01,10.740000,10.820000,10.610000,10.760000,1.483802,0
1986-04-01,10.830000,10.830000,10.630000,10.650000,1.478534,0
1986-05-01,10.620000,10.620000,10.420000,10.430000,1.457728,0
1986-06-01,10.420000,10.490000,10.230000,10.490000,1.475727,0
1986-07-01,10.510000,10.580000,10.460000,10.470000,1.482951,0
1986-08-01,10.490000,10.920000,10.490000,10.550000,1.504349,0
1986-09-01,10.590000,10.590000,10.380000,10.400000,1.492665,0
1986-10-01,10.400000,10.610000,10.330000,10.610000,1.532817,0
1986-11-01,10.620000,10.760000,10.600000,10.760000,1.564228,0
1986-12-01,10.760000,10.770000,10.620000,10.670000,1.560571,0
1987-01-01,10.670000,10.940000,10.670000,10.940000,1.610029,0
1987-02-01,10.930000,10.940000,10.860000,10.920000,1.616700,0
1987-03-01,10.920000,10.960000,10.800000,10.800000,1.608517,0
1987-04-01,10.770000,10.770000,9.880000,9.950000,1.490868,0
1987-05-01,9.960000,9.960000,9.550000,9.780000,1.475023,0
1987-06-01,9.830000,10.080000,9.780000,9.970000,1.513959,0
1987-07-01,9.960000,10.060000,9.960000,9.970000,1.523586,0
1987-08-01,9.970000,10.010000,9.900000,9.940000,1.528806,0
1987-09-01,9.940000,9.940000,9.400000,9.400000,1.455093,0
1987-10-01,9.360000,9.440000,8.900000,9.370000,1.460306,0
1987-11-01,9.390000,9.690000,9.390000,9.400000,1.474751,0
1987-12-01,9.380000,9.520000,9.320000,9.520000,1.537004,0
1988-01-01,9.540000,9.880000,9.540000,9.880000,1.605593,0
1988-02-01,9.910000,9.940000,9.850000,9.920000,1.622308,0
1988-03-01,9.930000,9.930000,9.600000,9.640000,1.586278,0
1988-04-01,9.620000,9.670000,9.560000,9.600000,1.589955,0
1988-05-01,9.590000,9.600000,9.530000,9.570000,1.595100,0
1988-06-01,9.600000,9.750000,9.600000,9.730000,1.632023,0
1988-07-01,9.740000,9.740000,9.680000,9.730000,1.642331,0
1988-08-01,9.740000,9.790000,9.680000,9.730000,1.653043,0
1988-09-01,9.730000,9.920000,9.730000,9.920000,1.696317,0
1988-10-01,9.930000,10.100000,9.920000,10.100000,1.737993,0
1988-11-01,10.110000,10.120000,9.870000,9.890000,1.712387,0
1988-12-01,9.900000,10.050000,9.820000,10.050000,1.751080,0
1989-01-01,10.020000,10.190000,10.020000,10.180000,1.784934,0
1989-02-01,10.180000,10.180000,9.990000,10.000000,1.764114,0
1989-03-01,9.980000,10.010000,9.880000,9.950000,1.766255,0
1989-04-01,9.970000,10.180000,9.970000,10.180000,1.818613,0
1989-05-01,10.160000,10.390000,10.150000,10.340000,1.858695,0
1989-06-01,10.340000,10.470000,10.340000,10.440000,1.888188,0
1989-07-01,10.440000,10.490000,10.420000,10.490000,1.908771,0
1989-08-01,10.520000,10.520000,10.240000,10.270000,1.880222,0
1989-09-01,10.280000,10.310000,10.110000,10.190000,1.877286,0
1989-10-01,10.190000,10.360000,10.190000,10.210000,1.892705,0
1989-11-01,10.210000,10.310000,10.200000,10.250000,1.911942,0
1989-12-01,10.270000,10.290000,10.210000,10.260000,1.967914,0
1990-01-01,10.260000,10.260000,10.020000,10.040000,1.937438,0
1990-02-01,10.040000,10.140000,10.030000,10.090000,1.959211,0
1990-03-01,10.070000,10.090000,10.010000,10.020000,1.957220,0
1990-04-01,10.020000,10.050000,9.780000,9.780000,1.922043,0
1990-05-01,9.790000,10.080000,9.790000,10.080000,1.993423,0
1990-06-01,10.120000,10.120000,10.050000,10.100000,2.009552,0
1990-07-01,10.110000,10.240000,10.100000,10.240000,2.049811,0
1990-08-01,10.270000,10.270000,9.770000,9.900000,1.993821,0
1990-09-01,9.900000,9.970000,9.780000,9.780000,1.982080,0
1990-10-01,9.810000,9.910000,9.740000,9.910000,2.021241,0
1990-11-01,9.940000,10.120000,9.940000,9.990000,2.050215,0
1990-12-01,10.010000,10.060000,9.940000,9.960000,2.115194,0
1991-01-01,9.990000,10.070000,9.920000,10.070000,2.151516,0
1991-02-01,10.110000,10.230000,10.050000,10.050000,2.160354,0
1991-03-01,10.040000,10.060000,10.000000,10.020000,2.166828,0
1991-04-01,10.020000,10.170000,10.020000,10.160000,2.223693,0
1991-05-01,10.180000,10.230000,10.180000,10.230000,2.252345,0
1991-06-01,10.230000,10.230000,10.010000,10.110000,2.239276,0
1991-07-01,10.110000,10.210000,10.110000,10.210000,2.275647,0
1991-08-01,10.210000,10.320000,10.210000,10.320000,2.314217,0
1991-09-01,10.320000,10.430000,10.300000,10.430000,2.353020,0
1991-10-01,10.440000,10.500000,10.440000,10.480000,2.378455,0
1991-11-01,10.490000,10.510000,10.300000,10.310000,2.353797,0
1991-12-01,10.300000,10.530000,10.240000,10.530000,2.469756,0
1992-01-01,10.550000,10.620000,10.430000,10.430000,2.460387,0
1992-02-01,10.400000,10.410000,10.340000,10.390000,2.465372,0
1992-03-01,10.370000,10.370000,10.300000,10.340000,2.467786,0
1992-04-01,10.360000,10.470000,10.360000,10.390000,2.493721,0
1992-05-01,10.390000,10.540000,10.390000,10.520000,2.539832,0
1992-06-01,10.500000,10.660000,10.490000,10.660000,2.589416,0
1992-07-01,10.680000,11.120000,10.680000,11.050000,2.697817,0
1992-08-01,10.990000,10.990000,10.680000,10.760000,2.641088,0
1992-09-01,10.770000,10.880000,10.680000,10.720000,2.646041,0
1992-10-01,10.740000,10.740000,10.390000,10.440000,2.591188,0
1992-11-01,10.440000,10.740000,10.440000,10.470000,2.613701,0
1992-12-01,10.460000,10.560000,10.460000,10.560000,2.714258,0
1993-01-01,10.570000,10.620000,10.500000,10.620000,2.744233,0
1993-02-01,10.620000,11.060000,10.610000,11.060000,2.873369,0
1993-03-01,11.060000,11.130000,10.800000,10.810000,2.822211,0
1993-04-01,10.810000,10.960000,10.750000,10.940000,2.870221,0
1993-05-01,10.960000,11.010000,10.900000,10.950000,2.886844,0
1993-06-01,10.960000,11.060000,10.930000,11.060000,2.930577,0
1993-07-01,11.070000,11.080000,10.920000,10.940000,2.912736,0
1993-08-01,10.950000,11.170000,10.950000,11.170000,2.988726,0
1993-09-01,11.170000,11.290000,11.170000,11.240000,3.022365,0
1993-10-01,11.250000,11.340000,11.200000,11.210000,3.029095,0
1993-11-01,11.190000,11.190000,11.010000,11.050000,3.000313,0
1993-12-01,11.070000,11.230000,11.010000,11.010000,3.003819,0
1994-01-01,10.980000,11.080000,10.970000,11.080000,3.096543,0
1994-02-01,11.070000,11.070000,10.780000,10.780000,3.026918,0
1994-03-01,10.720000,10.720000,10.300000,10.300000,2.905888,0
1994-04-01,10.060000,10.440000,10.060000,10.330000,2.928753,0
1994-05-01,10.300000,10.440000,10.200000,10.420000,2.969146,0
1994-06-01,10.420000,10.590000,10.270000,10.270000,2.940796,0
1994-07-01,10.270000,10.420000,10.250000,10.420000,2.998626,0
1994-08-01,10.410000,10.420000,10.290000,10.390000,3.005385,0
1994-09-01,10.390000,10.400000,10.110000,10.110000,2.939411,0
1994-10-01,10.110000,10.110000,9.840000,9.840000,2.876261,0
1994-11-01,9.750000,9.750000,9.380000,9.590000,2.818651,0
