Date,Open,High,Low,Close,Adj Close,Volume
1980-01-01,9.540000,9.540000,9.280000,9.280000,0.225772,0
1980-02-01,9.280000,9.280000,8.840000,8.840000,0.220026,0
1980-03-01,8.840000,8.840000,8.610000,8.610000,0.216283,0
1980-04-01,8.610000,9.020000,8.610000,9.020000,0.228912,0
1980-05-01,9.020000,9.430000,9.020000,9.430000,0.241845,0
1980-06-01,9.430000,9.480000,9.430000,9.480000,0.245578,0
1980-07-01,9.480000,9.480000,9.260000,9.260000,0.242190,0
1980-08-01,9.260000,9.260000,8.920000,8.920000,0.235534,0
1980-09-01,8.920000,8.920000,8.770000,8.770000,0.233846,0
1980-10-01,8.770000,8.780000,8.770000,8.780000,0.236499,0
1980-11-01,8.780000,8.780000,8.700000,8.700000,0.236774,0
1980-12-01,8.700000,8.700000,8.620000,8.620000,0.237026,0
1981-01-01,8.620000,8.620000,8.470000,8.470000,0.235336,0
1981-02-01,8.470000,8.470000,8.330000,8.330000,0.236803,0
1981-03-01,8.330000,8.450000,8.330000,8.450000,0.242794,0
1981-04-01,8.450000,8.450000,8.230000,8.230000,0.239056,0
1981-05-01,8.230000,8.250000,8.230000,8.250000,0.242217,0
1981-06-01,8.250000,8.340000,8.250000,8.340000,0.247566,0
1981-07-01,8.340000,8.340000,8.130000,8.130000,0.243994,0
1981-08-01,8.130000,8.130000,7.860000,7.860000,0.238465,0
1981-09-01,7.860000,7.860000,7.460000,7.460000,0.229005,0
1981-10-01,7.460000,7.600000,7.460000,7.600000,0.236157,0
1981-11-01,7.600000,8.530000,7.600000,8.530000,0.268474,0
1981-12-01,8.530000,8.530000,8.130000,8.130000,0.259124,0
1982-01-01,8.130000,8.130000,7.840000,7.840000,0.252695,0
1982-02-01,7.840000,7.840000,7.840000,7.840000,0.259887,0
1982-03-01,7.840000,7.870000,7.840000,7.870000,0.264082,0
1982-04-01,7.870000,7.970000,7.870000,7.970000,0.270717,0
1982-05-01,7.970000,8.090000,7.970000,8.090000,0.278151,0
1982-06-01,8.090000,8.090000,7.830000,7.830000,0.272459,0
1982-07-01,7.830000,8.010000,7.830000,8.010000,0.282035,0
1982-08-01,8.010000,8.570000,8.010000,8.570000,0.305459,0
1982-09-01,8.570000,8.620000,8.570000,8.620000,0.310929,0
