Date,Open,High,Low,Close,Adj Close,Volume
1980-01-01,9.600000,10.190000,9.490000,10.120000,0.452732,0
1980-02-01,10.160000,10.280000,9.650000,9.750000,0.436180,0
1980-03-01,9.680000,9.690000,8.550000,8.980000,0.401732,0
1980-04-01,9.030000,9.300000,8.920000,9.150000,0.409338,0
1980-05-01,9.140000,9.970000,9.140000,9.880000,0.453204,0
1980-06-01,9.840000,10.300000,9.810000,10.170000,0.466506,0
1980-07-01,10.210000,10.870000,10.210000,10.850000,0.497698,0
1980-08-01,10.840000,11.300000,10.840000,11.070000,0.507790,0
1980-09-01,11.170000,11.700000,11.160000,11.230000,0.515129,0
1980-10-01,11.230000,11.590000,9.950000,10.000000,0.458708,0
1980-11-01,10.060000,10.440000,10.010000,10.310000,0.488649,0
1980-12-01,10.170000,10.420000,9.730000,10.420000,0.493862,0
1981-01-01,10.470000,10.750000,10.430000,10.540000,0.499550,0
1981-02-01,10.400000,10.860000,10.400000,10.860000,0.514716,0
1981-03-01,10.920000,11.730000,10.910000,11.730000,0.555951,0
1981-04-01,11.780000,11.950000,11.430000,11.430000,0.541732,0
1981-05-01,11.420000,11.750000,11.220000,11.750000,0.570260,0
1981-06-01,11.770000,12.200000,11.660000,12.020000,0.583364,0
1981-07-01,11.910000,12.010000,11.650000,11.940000,0.579481,0
1981-08-01,11.910000,12.200000,11.370000,11.370000,0.551818,0
1981-09-01,11.410000,11.460000,10.770000,11.020000,0.534831,0
1981-10-01,11.080000,11.500000,9.620000,9.620000,0.466885,0
1981-11-01,9.770000,10.110000,9.690000,10.110000,0.509157,0
1981-12-01,10.140000,10.140000,9.890000,9.920000,0.499588,0
1982-01-01,9.950000,9.950000,9.350000,9.660000,0.486494,0
1982-02-01,9.520000,9.560000,9.170000,9.300000,0.468364,0
1982-03-01,9.350000,9.580000,9.130000,9.480000,0.477429,0
1982-04-01,9.610000,9.970000,9.500000,9.530000,0.479947,0
1982-05-01,9.560000,9.810000,9.360000,9.360000,0.484112,0
1982-06-01,9.330000,9.350000,8.940000,9.150000,0.473251,0
1982-07-01,9.080000,9.160000,8.900000,8.900000,0.460320,0
1982-08-01,9.040000,9.940000,8.680000,9.940000,0.514111,0
1982-09-01,9.900000,10.380000,9.900000,10.200000,0.527558,0
1982-10-01,10.310000,11.690000,10.000000,10.000000,0.517214,0
1982-11-01,10.060000,10.510000,10.000000,10.220000,0.545767,0
1982-12-01,10.300000,10.490000,10.090000,10.360000,0.553243,0
1983-01-01,10.330000,11.010000,10.330000,10.710000,0.571934,0
1983-02-01,10.620000,11.130000,10.620000,10.930000,0.583682,0
1983-03-01,11.030000,11.400000,11.030000,11.400000,0.608781,0
1983-04-01,11.460000,12.140000,11.350000,11.930000,0.637084,0
1983-05-01,11.850000,12.310000,11.850000,12.150000,0.664151,0
1983-06-01,12.130000,12.690000,12.030000,12.530000,0.684923,0
1983-07-01,12.580000,12.730000,12.410000,12.410000,0.678363,0
1983-08-01,12.400000,12.900000,12.370000,12.820000,0.700775,0
1983-09-01,12.830000,13.240000,12.830000,13.110000,0.716627,0
1983-10-01,13.120000,13.440000,11.490000,11.500000,0.628620,0
1983-11-01,11.520000,11.780000,11.490000,11.660000,0.658646,0
1983-12-01,11.690000,11.750000,11.540000,11.690000,0.660340,0
1984-01-01,11.710000,12.120000,11.710000,12.080000,0.682370,0
1984-02-01,12.040000,12.080000,11.680000,11.900000,0.672202,0
1984-03-01,11.950000,12.050000,11.750000,11.990000,0.677286,0
1984-04-01,11.920000,12.030000,11.720000,11.730000,0.662600,0
1984-05-01,11.830000,11.830000,11.090000,11.090000,0.642469,0
1984-06-01,11.270000,11.450000,11.020000,11.140000,0.645366,0
1984-07-01,11.140000,11.360000,11.090000,11.230000,0.650580,0
